,grantee_num,States,cofips_g,city,grantee_name,address,city_name,grantee_name65
1404,90108,AZ,27,340,COLORADO RIVER TRIBAL COUNCIL,"ROUTE 1,BOX 11",PARKER,COLORADO RIVER TRIBAL COUNCIL
1408,90112,AZ,27,620,QUECHAN TRIBAL COUNCIL,PO BOX 890,YUMA,QUECHAN TRIBAL COUNCIL
1412,90119,AZ,13,370,MARICOPA COMM HEALTH NETWORK,SUITE 700 112 N CENTRAL AVE,PHOENIX,MARICOPA COMM HEALTH NETWORK
1477,91164,AZ,1,597,DINEBIINA NAHIILNA BEAGADITAHE INC,P O BOX 306,WINDOW ROCK,DINEBIINA NAHIILNA BEAGADITAHE INC
1479,91206,AZ,27,620,ARIZONA RURAL EFFORT,377 MAIN STREET ROOM 202,YUMA,ARIZONA RURAL EFFORT
1484,91265,AZ,19,530,PASCUA YAQUI ASSOCIATION,4730 W CALLE TETAKUSIM,TUCSON,PASCUA YAQUI ASSOCIATION
997,60017,AR,11,4030,SOUTHEAST ARKANSAS CA CORPORATION,"117 SCOTTA ST, PO BOX 312",WARREN,SOUTHEAST ARKANSAS CA CORPORATION
1005,60043,AR,33,3930,"CRAWFORD-SEBASTIAN CTY CM DV COUN, INC",1721 E MAIN ST,VAN BUREN,"CRAWFORD-SEBASTIAN CTY CM DV COUN, INC"
1011,60054,AR,45,860,COMM ACTION PROG FOR CENTRAL ARK CAPCA,2215 COLLEGE AVE,CONWAY,COMM ACTION PROG FOR CENTRAL ARK CAPCA
1016,60059,AR,51,1910,"COUNCIL OF EO, HOT SPRINGS & GARLAND CNT","308 OMEGA, PO BOX 1175",HOT SPRINGS NATL PK,"COUNCIL OF EO, HOT SPRINGS & GARLAND CNT"
1020,60069,AR,119,2320,RURAL AND URBAN COMMUNITY DEV SVCS INC,PO BOX 4241 ASHER STATION,LITTLE ROCK,RURAL AND URBAN COMMUNITY DEV SVCS INC
1021,60070,AR,63,250,"NORTHCENTRAL ARKANSAS DEV COUNCIL, INC.",9TH & OAK STS,BATESVILLE,"NORTHCENTRAL ARKANSAS DEV COUNCIL, INC."
1022,60074,AR,69,3150,PINE BLUFF JEFFERSON CNT EO COMM INC.,CITY HALL,PINE BLUFF,PINE BLUFF JEFFERSON CNT EO COMM INC.
1023,60077,AR,119,2320,ARKANSAS FAMILY PLANNING COUNCIL INC,P O BOX 5149 HENDRIX HALL,LITTLE ROCK,ARKANSAS FAMILY PLANNING COUNCIL INC
1026,60086,AR,91,3810,SOUTHWEST-ARK DEVELOPMENT COUNCIL INC,MILLER CO COURTHOUSE ROOM 2,TEXARKANA,SOUTHWEST-ARK DEVELOPMENT COUNCIL INC
1027,60088,AR,93,450,"MISSISSIPPI COUNTY, ARK., EO COMMISSION",106 S 5TH ST,BLYTHEVILLE,"MISSISSIPPI COUNTY, ARK., EO COMMISSION"
1029,60108,AR,103,630,"S CENTRAL ARKANSAS CA AUTHORITY, INC.","133 WASH ST SW, PO BOX 937",CAMDEN,"S CENTRAL ARKANSAS CA AUTHORITY, INC."
1030,60110,AR,125,1830,"ARKANSAS MID DELTA OEO, INC.",3RD FLOOR COURT HOUSE,HELENA,"ARKANSAS MID DELTA OEO, INC."
1031,60128,AR,119,2320,ARKANSAS FARMERS UNION,1920 WRIGHT AVENUE,LITTLE ROCK,
1032,60129,AR,119,2320,ARKANSAS SEOO,CAPITOL HILL BLDG,LITTLE ROCK,ARKANSAS SEOO
1033,60134,AR,119,2320,"EO AGENCY OF PULASKI COUNTY, INC.",1505 CHESTER ST,LITTLE ROCK,"EO AGENCY OF PULASKI COUNTY, INC."
1034,60135,AR,121,3190,BLACK RIVER AREA DEVELOPMENT CORPORATION,114 E EVERETT,POCAHONTAS,BLACK RIVER AREA DEVELOPMENT CORPORATION
1035,60136,AR,123,1360,EAST CENTRAL ARK. ECON. OPPOR. CORP.,P.O. BOX 709,FORREST CITY,EAST CENTRAL ARK. ECON. OPPOR. CORP.
1036,60137,AR,125,330,"CENTRAL ARKANSAS DEV COUNCIL, INC.",125 N MAIN ST,BENTON,"CENTRAL ARKANSAS DEV COUNCIL, INC."
1037,60150,AR,143,1310,"EOA OF WASHINGTON COUNTY, INC.","1100 N COLLEGE, PO BOX 1168",FAYETTEVILLE,"EOA OF WASHINGTON COUNTY, INC."
1038,60157,AR,149,980,"ARVAC, INCORPORATED",103 1/2 LOCUST ST,DARDANELLE,"ARVAC, INCORPORATED"
1163,61443,AR,17,2210,CHICOT COUNTY DEPT OF PUBLIC WELFARE,400 HIGHWAY 65 S,LAKE VILLAGE,CHICOT COUNTY DEPT OF PUBLIC WELFARE
1171,61504,AR,7,3390,"NORTHWEST ARKANSAS E.O.A., INC.",PO BOX 37,ROGERS,"NORTHWEST ARKANSAS E.O.A., INC."
1177,61514,AR,9,1750,"OZARK OPPORTUNITIES, INC.",707 N VINE ST,HARRISON,"OZARK OPPORTUNITIES, INC."
1178,61517,AR,31,2070,CROWLEYS RIDGE DEVELOPMENT COUNCIL INC.,"PO BOX 1497, 249 S MAIN",JONESBORO,CROWLEYS RIDGE DEVELOPMENT COUNCIL INC.
1344,90002,CA,91,1046,SIERRA COUNTY WELFARE DEPARTMENT,BOX 38,DOWNIEVILLE,SIERRA COUNTY WELFARE DEPARTMENT
1346,90007,CA,73,1795,THE REGENTS OF UNIV OF CALI AT SAN DIEGO,SCHOOL OF MED MATTHEWS CAMPUS,LA JOLLA,THE REGENTS OF UNIV OF CALI AT SAN DIEGO
1347,90009,CA,73,3260,SAN DIEGO COMMUNITY COLLEGE,835 12TH AVE,SAN DIEGO,SAN DIEGO COMMUNITY COLLEGE
1354,90029,CA,19,1370,WEST SIDE PLANNING GROUP INC,707 NORTH FULTON,FRESNO,WEST SIDE PLANNING GROUP INC
1356,90031,CA,67,3150,BD OF GOVERNORS OF THE CALIF COMM COLL,825 FIFTEENTH STREET,SACRAMENTO,BD OF GOVERNORS OF THE CALIF COMM COLL
1357,90032,CA,85,3340,"ECONOMIC & SOCIAL OPPORTUNITIES, INC.",2131 THE ALAMEDA,SAN JOSE,"ECONOMIC & SOCIAL OPPORTUNITIES, INC."
1360,90037,CA,1,340,THE REGENTS OF THE UNIV OF CALIF,M 11 WHEELER HALL,BERKELEY,THE REGENTS OF THE UNIV OF CALIF
1361,90039,CA,37,1980,KAISER FOUNDATION HEALTH PLAN INC,1515 NORTH VERMONT AVE,LOS ANGELES,KAISER FOUNDATION HEALTH PLAN INC
1364,90046,CA,1,2480,GOOD SAMARITAN HOME,948 FOOTHILL BLVD,OAKLAND,GOOD SAMARITAN HOME
1365,90050,CA,1,2480,BAY AREA NATIVE AMERICAN COUNCIL,340 13TH STREET,OAKLAND,BAY AREA NATIVE AMERICAN COUNCIL
1366,90052,CA,69,1620,SAN BENITO COUNTY CONSUMER CORPORATION,PO BOX 860,HOLLISTER,SAN BENITO COUNTY CONSUMER CORPORATION
1367,90053,CA,49,50,INTER-TRIBAL COUNCIL OF CALIFORNIA,1800 20TH STREET,SACRAMENTO,INTER-TRIBAL COUNCIL OF CALIFORNIA
1368,90054,CA,87,117,CENTRAL COAST COUNTIES DEVELOPMENT CORP,265 CENTER STREET,APTOS,CENTRAL COAST COUNTIES DEVELOPMENT CORP
1369,90055,CA,75,3290,YOUTH LAW CENTER,795 TURK STREET,SAN FRANCISCO,YOUTH LAW CENTER
1371,90061,CA,75,3290,SAN FRANCISCO UNIFIED SCHOOL DISTRICT,135 VAN NESS AVE,SAN FRANCISCO,SAN FRANCISCO UNIFIED SCHOOL DISTRICT
1372,90062,CA,37,1980,INDIAN CENTER INC,600 SOUTH NEW HAMPSHIRE,LOS ANGELES,INDIAN CENTER INC
1373,90063,CA,1,2480,OAKLAND DEPT OF COMMUNITY RESOURCES,659-14TH ST,OAKLAND,OAKLAND DEPT OF COMMUNITY RESOURCES
1376,90067,CA,113,980,DEGANAWIDAH QUETZALCOATL UNIVERSITY,P O BOX 409,DAVIS,DEGANAWIDAH QUETZALCOATL UNIVERSITY
1377,90069,CA,37,1980,CHARLES DREW POSTGRADUATE MEDICAL SCHOOL,1620 E 119TH STREET,LOS ANGELES,CHARLES DREW POSTGRADUATE MEDICAL SCHOOL
1378,90071,CA,1,340,BERKELEY UNIFIED SCHOOL,1414 WALNUT STREET,BERKELEY,BERKELEY UNIFIED SCHOOL
1379,90072,CA,67,3150,CALIFORNIA YOUTH AUTHORITY,714 P STREET,SACRAMENTO,CALIFORNIA YOUTH AUTHORITY
1380,90073,CA,1,2480,PLANNED PARENTHOOD OF ALAMEDA-SAN FRAN,476 WEST MACARTHUR BLVD,OAKLAND,PLANNED PARENTHOOD OF ALAMEDA-SAN FRAN
1382,90075,CA,37,1980,NORTHEAST VALLEY HEALTH CORPORATION,13279 VAN NUYS BOULEVARD,PACOIMA,NORTHEAST VALLEY HEALTH CORPORATION
1383,90076,CA,75,3290,CALIF COMM ON REGIONAL MEDICAL PROGRAMS,655 SUTTER STREET,SAN FRANCISCO,CALIF COMM ON REGIONAL MEDICAL PROGRAMS
1384,90077,CA,73,3260,INSTITUTE FOR PERSONAL EFF IN CHILDRE,4455 TWAIN AVE SUITE H,SAN DIEGO,INSTITUTE FOR PERSONAL EFF IN CHILDRE
1387,90082,CA,67,3150,SACRAMENTO CO NEIGHBORHOOD HLTH SERV COR,2530 J STREET SUITE 202A,SACRAMENTO,SACRAMENTO CO NEIGHBORHOOD HLTH SERV COR
1388,90084,CA,37,3870,ATTENDING STAFF ASSOC-HARBOR GEN HOSP,1124 WEST CARSON STREET,TORRANCE,ATTENDING STAFF ASSOC-HARBOR GEN HOSP
1391,90088,CA,37,3470,THE RAND CORPORATION,1700 MAIN STREET,SANTA MONICA,THE RAND CORPORATION
1392,90089,CA,37,1980,YOUTH OPPORT FOUNDATION,8820 SOUTH SEPULVEDA BLVD,LOS ANGELES,YOUTH OPPORT FOUNDATION
1393,90090,CA,1,1364,CALIF COMM ACTION PROG DIRECTORS ASSOC,4068 BONDE WAY,FREMONT,CALIF COMM ACTION PROG DIRECTORS ASSOC
1394,90091,CA,1,340,CALIF INTERAGENCY COUNCIL ON FAMILY PLAN,1760 SOLANO AVENUE,BERKELEY,CALIF INTERAGENCY COUNCIL ON FAMILY PLAN
1396,90096,CA,37,1980,COMM HEALTH FOUNDATION OF E LA INC,4457 EAST TELEGRAPH ROAD,LOS ANGELES,COMM HEALTH FOUNDATION OF E LA INC
1400,90101,CA,1,340,INSTITUTE FOR LOCAL SELF GOVERNMENT,CLAREMONT HOTEL BLDG,BERKELEY,INSTITUTE FOR LOCAL SELF GOVERNMENT
1401,90102,CA,1,340,BAY AREA MANPOWER RESOURCES INC,1890 ALCATRAZ AVENUE,BERKELEY,BAY AREA MANPOWER RESOURCES INC
1403,90107,CA,87,3450,UNIVERSITY OF CAL EXTENSION - SANTA CRUZ,,SANTA CRUZ,UNIVERSITY OF CAL EXTENSION - SANTA CRUZ
1405,90109,CA,37,1980,LOS ANGELES COUNTY BOARD OF SUPERVISORS,500 WEST TEMPLE STREET,LOS ANGELES,LOS ANGELES COUNTY BOARD OF SUPERVISORS
1406,90110,CA,107,4050,CONTRACT OPPORTUNITIES INC,619 WEST WILLOW STREET,VISALIA,CONTRACT OPPORTUNITIES INC
1407,90111,CA,67,3150,STATE FILIPINO-AMERICAN COORD COMMITTEE,2741 FRUITRIDGE ROAD SUITE 5,SACRAMENTO,STATE FILIPINO-AMERICAN COORD COMMITTEE
1409,90113,CA,1,2480,BAY AREA BROADCAST SKILLS BANK,ONE JACK LONDON SQUARE,OAKLAND,BAY AREA BROADCAST SKILLS BANK
1410,90115,CA,37,1980,THE E LOS ANGELES COMMUNITY UNION,1330 S ATLANTIC BLVD,LOS ANGELES,THE E LOS ANGELES COMMUNITY UNION
1411,90116,CA,37,1980,CRENSHAW COMMUNITY YOUTH STUDY ASSO,,LOS ANGELES,CRENSHAW COMMUNITY YOUTH STUDY ASSO
1413,90134,CA,1,340,BERKELEY COMMUNITY DEVELOPMENT COUNCIL,1810 SIXTH STREET,BERKELEY,BERKELEY COMMUNITY DEVELOPMENT COUNCIL
1414,90142,CA,1,1560,SOUTHERN ALAMEDA CNT EO AGENCY,1435 GROVE WAY,HAYWARD,SOUTHERN ALAMEDA CNT EO AGENCY
1415,90170,CA,1,340,REGENTS OF THE UNIV OF CALIF CTR DESIGN,764 UNIVERSITY HALL,BERKELEY,REGENTS OF THE UNIV OF CALIF CTR DESIGN
1416,90181,CA,7,2600,BUTTE COUNTY BOARD OF SUPERVISORS,1440 LINCOLN AVE,OROVILLE,BUTTE COUNTY BOARD OF SUPERVISORS
1417,90195,CA,13,2090,CONTRA COSTA CNT BD OF SUPERVISORS,1157 THOMPSON ST,MARTINEZ,CONTRA COSTA CNT BD OF SUPERVISORS
1418,90218,CA,17,2810,EL DORADO COUNTY BOARD OF SUPERVISORS,842 PACIFIC ST,PLACERVILLE,EL DORADO COUNTY BOARD OF SUPERVISORS
1419,90232,CA,99,2200,FRESNO CNT EO,"2309 TULARE, RM 328",FRESNO,FRESNO CNT EO
1420,90244,CA,25,1090,ECON OPPORT COUNCIL OF IMPERIAL COUNTY,143 SOUTH 6TH ST,EL CENTRO,ECON OPPORT COUNCIL OF IMPERIAL COUNTY
1421,90255,CA,29,240,KERN COUNTY EO CORPORATION,218-220 EUREKA ST,BAKERSFIELD,KERN COUNTY EO CORPORATION
1422,90264,CA,37,1980,HOUSING OPPORTUNITIES CENTER,40 34 BUCKINGHAM ROAD,LOS ANGELES,HOUSING OPPORTUNITIES CENTER
1423,90269,CA,45,3990,NORTH COAST OPPORTUNITIES INC,PO BOX 449,UKIAH,NORTH COAST OPPORTUNITIES INC
1424,90272,CA,35,3800,LASSEN-MODOC-PLUMAS-TEHAMA CAA INC.,944 MAIN ST,SUSANVILLE,LASSEN-MODOC-PLUMAS-TEHAMA CAA INC.
1425,90280,CA,75,3290,CALIFORNIA RURAL LEGAL ASSISTANCE INC,1212 MARKET STREET,SAN FRANCISCO,CALIFORNIA RURAL LEGAL ASSISTANCE INC
1426,90298,CA,37,1980,GREATER LOS ANGELES COMM ACT AGENCY INC,314 WEST SIXTH STREET,LOS ANGLES,GREATER LOS ANGELES COMM ACT AGENCY INC
1427,90319,CA,37,1970,LONG BEACH COMM ON EO & COMM RELATIONS,853 ATLANTIC AVE,LONG BEACH,LONG BEACH COMM ON EO & COMM RELATIONS
1428,90360,CA,37,1980,THE REGENTS OF THE UNIV OF CALIFORNIA,405 HILGARD AVENUE,LOS ANGELES,THE REGENTS OF THE UNIV OF CALIFORNIA
1429,90369,CA,37,1980,S CENTRAL MULTIPURPOSE HLTH SERV CNTR I,2051 EAST 103RD STREET,LOS ANGELES,S CENTRAL MULTIPURPOSE HLTH SERV CNTR I
1430,90385,CA,39,2050,MADERA COUNTY BOARD OF SUPERVISORS,131-B WEST YOSEMITE AVE,MADERA,MADERA COUNTY BOARD OF SUPERVISORS
1431,90395,CA,41,3410,COMMUNITY ACTION MARIN,1006 LINCOLN AVE,SAN RAFAEL,COMMUNITY ACTION MARIN
1432,90403,CA,47,2150,MERCED CNT BOARD OF SUPERVISORS,"PO BOX 2085, 2231 L ST",MERCED,MERCED CNT BOARD OF SUPERVISORS
1433,90424,CA,55,2330,NAPA COUNTY COUNCIL FOR EO,4215 SOLANO AVE,NAPA,NAPA COUNTY COUNCIL FOR EO
1434,90432,CA,59,3420,"ORANGE CO COMM ACTION COUNCIL, INC",1140 BRISTOL ST,SANTA ANA,"ORANGE CO COMM ACTION COUNCIL, INC"
1435,90435,CA,61,200,"PLACER COMMUNITY ACTION COUNCIL, INC.","BLDG 4 DEWITT CTR, PO BOX 192",AUBURN,"PLACER COMMUNITY ACTION COUNCIL, INC."
1436,90443,CA,65,3070,"ECONOMIC OPPORTUNITY BOARD, RIVERSIDE CO",3570 9TH ST SUITE 240,RIVERSIDE,"ECONOMIC OPPORTUNITY BOARD, RIVERSIDE CO"
1437,90455,CA,67,3150,CALIFORNIA STATE OEO,"555 CAPITOL MALL, RM 325",SACRAMENTO,CALIFORNIA STATE OEO
1438,90465,CA,67,3150,SACRAMENTO AREA EO COUNCIL,4170 FLORIN RD,SACRAMENTO,SACRAMENTO AREA EO COUNCIL
1439,90475,CA,67,3150,DEPARTMENT OF HUMAN RESOURCES,800 CAPITOL MALL ROOM 3098,SACRAMENTO,DEPARTMENT OF HUMAN RESOURCES
1440,90483,CA,71,3210,SAN BERNARDINO CNT BOARD OF SUPERVISORS,157 WEST FIFTH ST,SAN BERNARDINO,SAN BERNARDINO CNT BOARD OF SUPERVISORS
1441,90493,CA,73,3260,EO COMM OF SAN DIEGO CNT,861 SIXTH AVE,SAN DIEGO,EO COMM OF SAN DIEGO CNT
1442,90522,CA,75,3280,"EO COUNCIL OF SAN FRANCISCO, INC.",730 POLK ST,SAN FRANCISCO,"EO COUNCIL OF SAN FRANCISCO, INC."
1443,90556,CA,77,3770,"CA COUNCIL OF SAN JOAQUIN CNT, INC.",11 S SAN JOAQUIN ST,STOCKTON,"CA COUNCIL OF SAN JOAQUIN CNT, INC."
1444,90565,CA,79,3370,ECON OPOR COM OF SAN LUIS OBISPO CTY,1508 MARSH ST,SAN LUIS OBISPO,ECON OPOR COM OF SAN LUIS OBISPO CTY
1445,90573,CA,81,2980,SAN MATEO COUNTY BOARD OF SUPERVISORS,621 MIDDLEFIELD RD,REDWOOD,SAN MATEO COUNTY BOARD OF SUPERVISORS
1446,90578,CA,83,3430,"CA COMM OF SANTA BARBARA CNT, INC.",735 STATE ST,SANTA BARBARA,"CA COMM OF SANTA BARBARA CNT, INC."
1447,90582,CA,85,3340,ECON OPPOR COMMISSION OF SANTA CLARA INC,98 SANTA THERESA,SAN JOSE,ECON OPPOR COMMISSION OF SANTA CLARA INC
1448,90592,CA,87,3450,CA BOARD OF SANTA CRUZ COUNTY,"1100 EMELINE ST, PO BOX 1380",SANTA CRUZ,CA BOARD OF SANTA CRUZ COUNTY
1449,90597,CA,1,340,CALIF INDIAN LEGAL SERVICES INC,2527 DWIGHT WAY,BERKELEY,CALIF INDIAN LEGAL SERVICES INC
1450,90598,CA,89,2950,SHASTA COUNTY COMMUNITY ACTION PROJECT,"PO DR. AV, 2704 SO MARKET ST",REDDING,SHASTA COUNTY COMMUNITY ACTION PROJECT
1451,90604,CA,95,4020,SOLANO COUNTY EO COUNCIL,1027 ALABAMA ST,VALLEJO,SOLANO COUNTY EO COUNCIL
