Grantmaker.Name,Grantmaker.State,Recipient.Name,Recipient.City,Recipient.State.Country,Year.Authorized,Grant.Amount,Grantmaker.Type,Recipient.Type
A.C. Ratshesky Foundation,MA,Asian American Civic Association,Boston,MA,2014,10000,Foundation,CBO
A.C. Ratshesky Foundation,MA,Asian American Civic Association,Boston,MA,2006,10000,Foundation,CBO
AmazonSmile Foundation,WA,Asian American Civic Association,Boston,MA,2014,10,Foundation,CBO
Amelia Peabody Charitable Fund,MA,Asian American Civic Association,Boston,MA,2005,50000,Foundation,CBO
Amelia Peabody Foundation,MA,Asian American Civic Association,Boston,MA,2007,80000,Foundation,CBO
Arbella Insurance Group Charitable Foundation,MA,Asian American Civic Association,Boston,MA,2008,2000,Foundation,CBO
Barr Foundation,MA,Asian American Civic Association,Boston,MA,2009,103500,Foundation,CBO
BNY Mellon Foundation,PA,Asian American Civic Association,Boston,MA,2015,50000,Foundation,CBO
Boston Foundation,MA,Asian American Civic Association,Boston,MA,2015,10000,Foundation,CBO
Boston Foundation,MA,Asian American Civic Association,Boston,MA,2015,5000,Foundation,CBO
Boston Foundation,MA,Asian American Civic Association,Boston,MA,2014,75000,Foundation,CBO
Boston Foundation,MA,Asian American Civic Association,Boston,MA,2013,10000,Foundation,CBO
Boston Foundation,MA,Asian American Civic Association,Boston,MA,2013,10000,Foundation,CBO
Boston Foundation,MA,Asian American Civic Association,Boston,MA,2013,10000,Foundation,CBO
Boston Foundation,MA,Asian American Civic Association,Boston,MA,2013,10000,Foundation,CBO
Boston Foundation,MA,Asian American Civic Association,Boston,MA,2013,75000,Foundation,CBO
Boston Foundation,MA,Asian American Civic Association,Boston,MA,2012,10000,Foundation,CBO
Boston Foundation,MA,Asian American Civic Association,Boston,MA,2011,10000,Foundation,CBO
Boston Foundation,MA,Asian American Civic Association,Boston,MA,2010,40000,Foundation,CBO
Boston Foundation,MA,Asian American Civic Association,Boston,MA,2010,50000,Foundation,CBO
Boston Foundation,MA,Asian American Civic Association,Boston,MA,2010,10000,Foundation,CBO
Boston Foundation,MA,Asian American Civic Association,Boston,MA,2010,18580,Foundation,CBO
Boston Foundation,MA,Asian American Civic Association,Boston,MA,2009,10000,Foundation,CBO
Boston Foundation,MA,Asian American Civic Association,Boston,MA,2008,10000,Foundation,CBO
Boston Foundation,MA,Asian American Civic Association,Boston,MA,2006,2500,Foundation,CBO
Boston Foundation,MA,Asian American Civic Association,Boston,MA,2006,1500,Foundation,CBO
Boston Foundation,MA,Asian American Civic Association,Boston,MA,2005,5000,Foundation,CBO
Boston Foundation,MA,Asian American Civic Association,Boston,MA,2005,2500,Foundation,CBO
Carl and Ruth Shapiro Family Foundation,MA,Asian American Civic Association,Boston,MA,2013,20000,Foundation,CBO
Carl and Ruth Shapiro Family Foundation,MA,Asian American Civic Association,Boston,MA,2012,20000,Foundation,CBO
Cathay Bank Foundation,CA,Asian American Civic Association,Boston,MA,2015,20000,Foundation,CBO
Cathay Bank Foundation,CA,Asian American Civic Association,Boston,MA,2014,9500,Foundation,CBO
Cathay Bank Foundation,CA,Asian American Civic Association,Boston,MA,2012,10000,Foundation,CBO
Cathay Bank Foundation,CA,Asian American Civic Association,Boston,MA,2007,1500,Foundation,CBO
Cathay Bank Foundation,CA,Asian American Civic Association,Boston,MA,2007,1000,Foundation,CBO
Cathay Bank Foundation,CA,Asian American Civic Association,Boston,MA,2007,20000,Foundation,CBO
Ciccolo Family Foundation.,MA,Asian American Civic Association,Boston,MA,2015,500,Foundation,CBO
Citizens Charitable Foundation,,Asian American Civic Association,Boston,MA,2014,25000,Foundation,CBO
Citizens Charitable Foundation,,Asian American Civic Association,Boston,MA,2014,13,Foundation,CBO
Citizens Charitable Foundation,,Asian American Civic Association,Boston,MA,2013,25000,Foundation,CBO
Citizens Charitable Foundation,,Asian American Civic Association,Boston,MA,2012,10000,Foundation,CBO
Citizens Charitable Foundation,,Asian American Civic Association,Boston,MA,2009,5000,Foundation,CBO
Citizens Charitable Foundation,,Asian American Civic Association,Boston,MA,2008,3000,Foundation,CBO
Citizens Charitable Foundation,,Asian American Civic Association,Boston,MA,2008,25000,Foundation,CBO
Citizens Charitable Foundation,,Asian American Civic Association,Boston,MA,2008,30000,Foundation,CBO
Citizens Charitable Foundation,,Asian American Civic Association,Boston,MA,2007,25000,Foundation,CBO
Citizens Charitable Foundation,,Asian American Civic Association,Boston,MA,2006,5000,Foundation,CBO
Citizens Charitable Foundation,,Asian American Civic Association,Boston,MA,2006,15000,Foundation,CBO
Citizens Charitable Foundation,,Asian American Civic Association,Boston,MA,2006,10000,Foundation,CBO
Citizens Charitable Foundation,,Asian American Civic Association,Boston,MA,2005,10000,Foundation,CBO
Clipper Ship Foundation,MA,Asian American Civic Association,Boston,MA,2015,10000,Foundation,CBO
Clipper Ship Foundation,MA,Asian American Civic Association,Boston,MA,2014,10000,Foundation,CBO
Clipper Ship Foundation,MA,Asian American Civic Association,Boston,MA,2007,15000,Foundation,CBO
David Joyce Charitable Trust,MA,Asian American Civic Association,Boston,MA,2014,3500,Foundation,CBO
Deborah M. Noonan Memorial Fund,RI,Asian American Civic Association,Boston,MA,2015,20000,Foundation,CBO
Deborah Munroe Noonan Memorial Fund,MA,Asian American Civic Association,Boston,MA,2015,20000,Foundation,CBO
Deborah Munroe Noonan Memorial Fund,MA,Asian American Civic Association,Boston,MA,2014,20000,Foundation,CBO
Eastern Bank Charitable Foundation,MA,Asian American Civic Association,Boston,MA,2015,500,Foundation,CBO
Eastern Bank Charitable Foundation,MA,Asian American Civic Association,Boston,MA,2014,1000,Foundation,CBO
Eastern Bank Charitable Foundation,MA,Asian American Civic Association,Boston,MA,2014,10000,Foundation,CBO
Eastern Bank Charitable Foundation,MA,Asian American Civic Association,Boston,MA,2012,10000,Foundation,CBO
Eastern Bank Charitable Foundation,MA,Asian American Civic Association,Boston,MA,2012,500,Foundation,CBO
Eastern Bank Charitable Foundation,MA,Asian American Civic Association,Boston,MA,2012,500,Foundation,CBO
Eastern Bank Charitable Foundation,MA,Asian American Civic Association,Boston,MA,2007,25000,Foundation,CBO
Fidelity Charitable Gift Fund,OH,Asian American Civic Association,Boston,MA,2015,500,Foundation,CBO
Fidelity Charitable Gift Fund,OH,Asian American Civic Association,Boston,MA,2015,20000,Foundation,CBO
Fidelity Charitable Gift Fund,OH,Asian American Civic Association,Boston,MA,2015,250,Foundation,CBO
Fidelity Charitable Gift Fund,OH,Asian American Civic Association,Boston,MA,2015,1000,Foundation,CBO
Fish Family Foundation,MA,Asian American Civic Association,Boston,MA,2008,2500,Foundation,CBO
Harriet B. Bayley Trust,PA,Asian American Civic Association,Boston,MA,2014,25000,Foundation,CBO
Hartford Foundation for Public Giving,CT,Asian American Civic Association,Boston,MA,2015,30000,Foundation,CBO
Hartford Foundation for Public Giving,CT,Asian American Civic Association,Boston,MA,2014,20000,Foundation,CBO
Hartford Foundation for Public Giving,CT,Asian American Civic Association,Boston,MA,2013,20000,Foundation,CBO
Hartford Foundation for Public Giving,CT,Asian American Civic Association,Boston,MA,2012,40000,Foundation,CBO
Hartford Foundation for Public Giving,CT,Asian American Civic Association,Boston,MA,2012,30000,Foundation,CBO
Hartford Foundation for Public Giving,CT,Asian American Civic Association,Boston,MA,2010,30000,Foundation,CBO
Hartford Foundation for Public Giving,CT,Asian American Civic Association,Boston,MA,2009,25000,Foundation,CBO
Hartford Foundation for Public Giving,CT,Asian American Civic Association,Boston,MA,2008,16755,Foundation,CBO
Hartford Foundation for Public Giving,CT,Asian American Civic Association,Boston,MA,2007,16288,Foundation,CBO
Hartford Foundation for Public Giving,CT,Asian American Civic Association,Boston,MA,2006,34560,Foundation,CBO
Harvard Pilgrim Health Care Foundation,MA,Asian American Civic Association,Boston,MA,2015,5000,Foundation,CBO
Jane's Trust,MA,Asian American Civic Association,Boston,MA,2007,100000,Foundation,CBO
Joseph H. & Florence A. Roblee Foundation,MO,Asian American Civic Association,Boston,MA,2005,15000,Foundation,CBO
Kinder Morgan Foundation,CO,Asian American Civic Association,Boston,MA,2015,1000,Foundation,CBO
Magna Carta Foundation.,NY,Asian American Civic Association,Boston,MA,2015,2500,Foundation,CBO
Magna Carta Foundation.,NY,Asian American Civic Association,Boston,MA,2013,2500,Foundation,CBO
OneWorld Boston,MA,Asian American Civic Association,Boston,MA,2015,33334,Foundation,CBO
OneWorld Boston,MA,Asian American Civic Association,Boston,MA,2014,33333,Foundation,CBO
Paul and Edith Babson Foundation,MA,Asian American Civic Association,Boston,MA,2015,4000,Foundation,CBO
People's United Community Foundation of Eastern Massachusetts.,,Asian American Civic Association,Boston,MA,2015,10000,Foundation,CBO
People's United Community Foundation of Eastern Massachusetts.,,Asian American Civic Association,Boston,MA,2012,5000,Foundation,CBO
Richard and Susan Smith Family Foundation,MA,Asian American Civic Association,Boston,MA,2015,201918,Foundation,CBO
Richard and Susan Smith Family Foundation,MA,Asian American Civic Association,Boston,MA,2013,201810,Foundation,CBO
Richard and Susan Smith Family Foundation,MA,Asian American Civic Association,Boston,MA,2012,196923,Foundation,CBO
Richard and Susan Smith Family Foundation,MA,Asian American Civic Association,Boston,MA,2011,194092,Foundation,CBO
Staples Foundation,MA,Asian American Civic Association,Boston,MA,2015,1000,Foundation,CBO
State Street Foundation,MA,Asian American Civic Association,Boston,MA,2015,100000,Foundation,CBO
State Street Foundation,MA,Asian American Civic Association,Boston,MA,2014,100000,Foundation,CBO
State Street Foundation,MA,Asian American Civic Association,Boston,MA,2013,250000,Foundation,CBO
State Street Foundation,MA,Asian American Civic Association,Boston,MA,2012,100000,Foundation,CBO
State Street Foundation,MA,Asian American Civic Association,Boston,MA,2012,25000,Foundation,CBO
State Street Foundation,MA,Asian American Civic Association,Boston,MA,2011,100000,Foundation,CBO
State Street Foundation,MA,Asian American Civic Association,Boston,MA,2011,1000,Foundation,CBO
State Street Foundation,MA,Asian American Civic Association,Boston,MA,2010,100000,Foundation,CBO
State Street Foundation,MA,Asian American Civic Association,Boston,MA,2008,200000,Foundation,CBO
State Street Foundation,MA,Asian American Civic Association,Boston,MA,2007,200000,Foundation,CBO
The Bank of America Charitable Foundation,NC,Asian American Civic Association,Boston,MA,2015,35000,Foundation,CBO
The Bank of America Charitable Foundation,NC,Asian American Civic Association,Boston,MA,2014,50000,Foundation,CBO
The Bank of America Charitable Foundation,NC,Asian American Civic Association,Boston,MA,2012,20000,Foundation,CBO
The George and Alice Rich Charitable Foundation,MA,Asian American Civic Association,Boston,MA,2015,2500,Foundation,CBO
The Harry and Jeanette Weinberg Foundation,MD,Asian American Civic Association,Boston,MA,2008,100000,Foundation,CBO
The Hearst Foundation,NY,Asian American Civic Association,Boston,MA,2012,50000,Foundation,CBO
The Hyams Foundation,MA,Asian American Civic Association,Boston,MA,2004,30000,Foundation,CBO
The JPMorgan Chase Foundation,NY,Asian American Civic Association,Boston,MA,2006,10000,Foundation,CBO
The Liberty Mutual Foundation,MA,Asian American Civic Association,Boston,MA,2014,551,Foundation,CBO
The Liberty Mutual Foundation,MA,Asian American Civic Association,Boston,MA,2014,25000,Foundation,CBO
The Liberty Mutual Foundation,MA,Asian American Civic Association,Boston,MA,2009,20000,Foundation,CBO
The New England Patriots Charitable Foundation,MA,Asian American Civic Association,Boston,MA,2014,2500,Foundation,CBO
The Susan F. Schiro and Peter J. Manus Foundation,MA,Asian American Civic Association,Boston,MA,2015,30000,Foundation,CBO
The Susan F. Schiro and Peter J. Manus Foundation,MA,Asian American Civic Association,Boston,MA,2014,30000,Foundation,CBO
The Susan F. Schiro and Peter J. Manus Foundation,MA,Asian American Civic Association,Boston,MA,2013,30000,Foundation,CBO
The Susan F. Schiro and Peter J. Manus Foundation,MA,Asian American Civic Association,Boston,MA,2008,10000,Foundation,CBO
The Susan F. Schiro and Peter J. Manus Foundation,MA,Asian American Civic Association,Boston,MA,2009,10000,Foundation,CBO
Verizon Foundation,NJ,Asian American Civic Association,Boston,MA,2010,10000,Foundation,CBO
Wellesley Bank Charitable Foundation.,MA,Asian American Civic Association,Boston,MA,2014,500,Foundation,CBO
AT&T Foundation,TX,Asian American Community Services,Columbus,OH,2006,11161,Foundation,CBO
Greater Columbus Arts Council,OH,Asian American Community Services,Columbus,OH,2004,7000,Foundation,CBO
Greater Columbus Arts Council,OH,Asian American Community Services,Columbus,OH,2003,6325,Foundation,CBO
KeyBank Foundation,OH,Asian American Community Services,Columbus,OH,2005,2500,Foundation,CBO
The Cleveland Foundation,OH,Asian American Community Services,Columbus,OH,2006,11161,Foundation,CBO
The Columbus Foundation and Affiliated Organizations,OH,Asian American Community Services,Columbus,OH,2003,25000,Foundation,CBO
The Columbus Foundation and Affiliated Organizations,OH,Asian American Community Services,Columbus,OH,2003,3000,Foundation,CBO
The Columbus Foundation and Affiliated Organizations,OH,Asian American Community Services,Columbus,OH,2003,20000,Foundation,CBO
The Columbus Foundation and Affiliated Organizations,OH,Asian American Community Services,Columbus,OH,2003,30000,Foundation,CBO
United States Department of Justice,DC,Asian American Community Services,Upper Arlington,OH,2015,295000,FED,CBO
Jean and Louis Dreyfus Foundation,NY,Asian American Consulting Service,Ridgewood,NY,2006,10000,Foundation,CBO
The New York Community Trust,NY,Asian American Consulting Service,Ridgewood,NY,2003,50000,Foundation,CBO
The New York Community Trust,NY,Asian American Consulting Service,Ridgewood,NY,2003,5000,Foundation,CBO
Verizon Foundation,NJ,Asian American Consulting Service,Ridgewood,NY,2005,7000,Foundation,CBO
Silicon Valley Community Foundation,CA,Asian American Curriculum Project,San Mateo,CA,2008,5000,Foundation,Advocacy
AmazonSmile Foundation,WA,Asian American Donor Program,Alameda,CA,2014,33,Foundation,CBO
G and G Educational Foundation,CT,Asian American Donor Program,Alameda,CA,2012,1000,Foundation,CBO
S P Care Family Foundation,CA,Asian American Donor Program,Alameda,CA,2015,1000,Foundation,CBO
Salesforce  Foundation,CA,Asian American Donor Program,Alameda,CA,2016,250,Foundation,CBO
Silicon Valley Community Foundation,CA,Asian American Donor Program,Alameda,CA,2016,7000,Foundation,CBO
Silicon Valley Community Foundation,CA,Asian American Donor Program,Alameda,CA,2015,1000,Foundation,CBO
Silicon Valley Community Foundation,CA,Asian American Donor Program,Alameda,CA,2015,5000,Foundation,CBO
Silicon Valley Community Foundation,CA,Asian American Donor Program,Alameda,CA,2015,7000,Foundation,CBO
Silicon Valley Community Foundation,CA,Asian American Donor Program,Alameda,CA,2013,250,Foundation,CBO
Silicon Valley Community Foundation,CA,Asian American Donor Program,Alameda,CA,2013,5000,Foundation,CBO
Silicon Valley Community Foundation,CA,Asian American Donor Program,Alameda,CA,2012,5000,Foundation,CBO
Silicon Valley Community Foundation,CA,Asian American Donor Program,Alameda,CA,2011,5000,Foundation,CBO
Silicon Valley Community Foundation,CA,Asian American Donor Program,Alameda,CA,2010,3000,Foundation,CBO
Silicon Valley Community Foundation,CA,Asian American Donor Program,Alameda,CA,2010,3000,Foundation,CBO
Silicon Valley Community Foundation,CA,Asian American Donor Program,Alameda,CA,2010,1400,Foundation,CBO
Silicon Valley Community Foundation,CA,Asian American Donor Program,Alameda,CA,2010,5000,Foundation,CBO
Silicon Valley Community Foundation,CA,Asian American Donor Program,Alameda,CA,2009,5000,Foundation,CBO
Silicon Valley Community Foundation,CA,Asian American Donor Program,Alameda,CA,2007,1500,Foundation,CBO
Silicon Valley Community Foundation,CA,Asian American Donor Program,Alameda,CA,2007,5000,Foundation,CBO
The Allstate Foundation,IL,Asian American Donor Program,Alameda,CA,2012,1000,Foundation,CBO
The Allstate Foundation,IL,Asian American Donor Program,Alameda,CA,2010,1000,Foundation,CBO
The Bank of America Charitable Foundation,NC,Asian American Donor Program,Alameda,CA,2007,4000,Foundation,CBO
The Bank of America Charitable Foundation,NC,Asian American Donor Program,Alameda,CA,2005,5000,Foundation,CBO
The East Bay Community Foundation,CA,Asian American Donor Program,Alameda,CA,2013,1200,Foundation,CBO
The East Bay Community Foundation,CA,Asian American Donor Program,Alameda,CA,2010,1000,Foundation,CBO
The George & Wilma Leonard Charitable Foundation,CA,Asian American Donor Program,Alameda,CA,2013,1000,Foundation,CBO
The George & Wilma Leonard Charitable Foundation,CA,Asian American Donor Program,Alameda,CA,2012,3000,Foundation,CBO
The George & Wilma Leonard Charitable Foundation,CA,Asian American Donor Program,Alameda,CA,2011,2000,Foundation,CBO
Wells Fargo Foundation,MN,Asian American Donor Program,Alameda,CA,2005,2500,Foundation,CBO
Yih Family Foundation,CA,Asian American Donor Program,Alameda,CA,2013,60,Foundation,CBO
Comerica Charitable Foundation,MI,Asian American Drug Abuse Program,Los Angeles,CA,2010,5000,Foundation,CBO
Comerica Charitable Foundation,MI,Asian American Drug Abuse Program,Los Angeles,CA,2009,5000,Foundation,CBO
Kaiser Permanente for the Southern California Region,CA,Asian American Drug Abuse Program,Los Angeles,CA,2015,10000,Foundation,CBO
Kaiser Permanente for the Southern California Region,CA,Asian American Drug Abuse Program,Los Angeles,CA,2014,5000,Foundation,CBO
MUFG Union Bank Foundation,CA,Asian American Drug Abuse Program,Los Angeles,CA,2007,2500,Foundation,CBO
The Bank of America Charitable Foundation,NC,Asian American Drug Abuse Program,Los Angeles,CA,2015,250,Foundation,CBO
The Bank of America Charitable Foundation,NC,Asian American Drug Abuse Program,Los Angeles,CA,2014,250,Foundation,CBO
The Durfee Foundation,CA,Asian American Drug Abuse Program,Los Angeles,CA,2014,250,Foundation,CBO
Upside Down Foundation,CA,Asian American Drug Abuse Program,Los Angeles,CA,2014,1000,Foundation,CBO
Weingart Foundation,CA,Asian American Drug Abuse Program,Los Angeles,CA,2004,75000,Foundation,CBO
Wells Fargo Foundation,MN,Asian American Drug Abuse Program,Los Angeles,CA,2013,10000,Foundation,CBO
Wells Fargo Foundation,MN,Asian American Drug Abuse Program,Los Angeles,CA,2009,5000,Foundation,CBO
Wells Fargo Foundation,MN,Asian American Drug Abuse Program,Los Angeles,CA,2005,5000,Foundation,CBO
The PG&E Corporation Foundation,CA,Asian American Education Institute,Los Angeles,CA,2012,15000,Foundation,Advocacy
The PG&E Corporation Foundation,CA,Asian American Education Institute,Los Angeles,CA,2010,7500,Foundation,Advocacy
The PG&E Corporation Foundation,CA,Asian American Education Institute,Los Angeles,CA,2010,5000,Foundation,Advocacy
Wells Fargo Foundation,MN,Asian American Education Institute,Los Angeles,CA,2015,10000,Foundation,Advocacy
Albert & Ethel Herzstein Charitable Foundation,TX,Asian American Family Services,Houston,TX,2012,2500,Foundation,CBO
ExxonMobil Foundation,TX,Asian American Family Services,Houston,TX,2014,2750,Foundation,CBO
ExxonMobil Foundation,TX,Asian American Family Services,Houston,TX,2013,2750,Foundation,CBO
ExxonMobil Foundation,TX,Asian American Family Services,Houston,TX,2012,2750,Foundation,CBO
ExxonMobil Foundation,TX,Asian American Family Services,Houston,TX,2011,2750,Foundation,CBO
ExxonMobil Foundation,TX,Asian American Family Services,Houston,TX,2009,2750,Foundation,CBO
ExxonMobil Foundation,TX,Asian American Family Services,Houston,TX,2007,2000,Foundation,CBO
ExxonMobil Foundation,TX,Asian American Family Services,Houston,TX,2005,2000,Foundation,CBO
Fidelity Charitable Gift Fund,OH,Asian American Family Services,Houston,TX,2015,1000,Foundation,CBO
Greater Houston Community Foundation,TX,Asian American Family Services,Houston,TX,2013,5300,Foundation,CBO
Greater Houston Community Foundation,TX,Asian American Family Services,Houston,TX,2011,1000,Foundation,CBO
Shell Oil Company Foundation,TX,Asian American Family Services,Houston,TX,2014,400,Foundation,CBO
The Greentree Fund,TX,Asian American Family Services,Houston,TX,2014,2500,Foundation,CBO
The Prudential Foundation,NJ,Asian American Family Services,Houston,TX,2014,200,Foundation,CBO
Wells Fargo Foundation,MN,Asian American Family Services,Houston,TX,2012,10000,Foundation,CBO
Wells Fargo Foundation,MN,Asian American Family Services,Houston,TX,2011,15000,Foundation,CBO
Wells Fargo Foundation,MN,Asian American Family Services,Houston,TX,2010,15000,Foundation,CBO
Wells Fargo Foundation,MN,Asian American Family Services,Houston,TX,2008,10000,Foundation,CBO
Wells Fargo Foundation,MN,Asian American Family Services,Houston,TX,2006,10000,Foundation,CBO
Wells Fargo Foundation,MN,Asian American Family Services,Houston,TX,2005,10000,Foundation,CBO
Wells Fargo Foundation,MN,Asian American Family Services,Houston,TX,2004,10000,Foundation,CBO
Wells Fargo Foundation,MN,Asian American Family Services,Houston,TX,2003,10000,Foundation,CBO
21st Century ILGWU Heritage Fund,NY,Asian American Federation,New York City,NY,2014,3000,Foundation,Hybrid
21st Century ILGWU Heritage Fund,NY,Asian American Federation,New York City,NY,2013,2500,Foundation,Hybrid
21st Century ILGWU Heritage Fund,NY,Asian American Federation,New York City,NY,2012,2000,Foundation,Hybrid
21st Century ILGWU Heritage Fund,NY,Asian American Federation,New York City,NY,2010,2000,Foundation,Hybrid
21st Century ILGWU Heritage Fund,NY,Asian American Federation,New York City,NY,2009,1500,Foundation,Hybrid
Aetna Foundation,CT,Asian American Federation,New York City,NY,2006,20000,Foundation,Hybrid
American Express Foundation,NY,Asian American Federation,New York City,NY,2003,25000,Foundation,Hybrid
AT&T Foundation,TX,Asian American Federation,New York City,NY,2005,5000,Foundation,Hybrid
Avon Foundation for Women,NY,Asian American Federation,New York City,NY,2004,20000,Foundation,Hybrid
C. J. Huang Foundation,NY,Asian American Federation,New York City,NY,2003,20000,Foundation,Hybrid
Carnegie Corporation of New York,NY,Asian American Federation,New York City,NY,2005,100000,Foundation,Hybrid
Citi Foundation,NY,Asian American Federation,New York City,NY,2008,10000,Foundation,Hybrid
Citi Foundation,NY,Asian American Federation,New York City,NY,2007,20000,Foundation,Hybrid
Citi Foundation,NY,Asian American Federation,New York City,NY,2006,20000,Foundation,Hybrid
Citi Foundation,NY,Asian American Federation,New York City,NY,2004,20000,Foundation,Hybrid
Citi Foundation,NY,Asian American Federation,New York City,NY,2003,15000,Foundation,Hybrid
Compton Foundation,CA,Asian American Federation,New York City,NY,2004,80000,Foundation,Hybrid
Cricket Island Foundation,NY,Asian American Federation,New York City,NY,2014,30000,Foundation,Hybrid
Cricket Island Foundation,NY,Asian American Federation,New York City,NY,2014,8000,Foundation,Hybrid
Cricket Island Foundation,NY,Asian American Federation,New York City,NY,2014,3000,Foundation,Hybrid
Deutsche Bank Americas Foundation,NY,Asian American Federation,New York City,NY,2007,25000,Foundation,Hybrid
Guido A. & Elizabeth H. Binda Foundation,MI,Asian American Federation,New York City,NY,2015,7500,Foundation,Hybrid
Johnson & Johnson Family of Companies Contribution Fund,NJ,Asian American Federation,New York City,NY,2005,5000,Foundation,Hybrid
Long Mountain Road Foundation,CT,Asian American Federation,New York City,NY,2014,10000,Foundation,Hybrid
New York Foundation,NY,Asian American Federation,New York City,NY,2012,42500,Foundation,Hybrid
Rockefeller Philanthropy Advisors,NY,Asian American Federation,New York City,NY,2007,185000,Foundation,Hybrid
Southpole Foundation.,NJ,Asian American Federation,New York City,NY,2015,30000,Foundation,Hybrid
Southpole Foundation.,NJ,Asian American Federation,New York City,NY,2014,30000,Foundation,Hybrid
The Bank of America Charitable Foundation,NC,Asian American Federation,New York City,NY,2014,5000,Foundation,Hybrid
The Charles B. Wang Foundation,NJ,Asian American Federation,New York City,NY,2003,5000,Foundation,Hybrid
The Coca-Cola Foundation,GA,Asian American Federation,New York City,NY,2012,50000,Foundation,Hybrid
The Commonwealth Fund,NY,Asian American Federation,New York City,NY,2003,99963,Foundation,Hybrid
The Ernest and Joan Liu Foundation,NY,Asian American Federation,New York City,NY,2015,6000,Foundation,Hybrid
The Ernest and Joan Liu Foundation,NY,Asian American Federation,New York City,NY,2014,5000,Foundation,Hybrid
The Hyde and Watson Foundation,NJ,Asian American Federation,New York City,NY,2015,4500,Foundation,Hybrid
The Hyde and Watson Foundation,NJ,Asian American Federation,New York City,NY,2012,7500,Foundation,Hybrid
The JPMorgan Chase Foundation,NY,Asian American Federation,New York City,NY,2005,25000,Foundation,Hybrid
The JPMorgan Chase Foundation,NY,Asian American Federation,New York City,NY,2003,15000,Foundation,Hybrid
The New York Community Trust,NY,Asian American Federation,New York City,NY,2016,15000,Foundation,Hybrid
The New York Community Trust,NY,Asian American Federation,New York City,NY,2015,10000,Foundation,Hybrid
The New York Community Trust,NY,Asian American Federation,New York City,NY,2004,50000,Foundation,Hybrid
The New York Community Trust,NY,Asian American Federation,New York City,NY,2004,79153,Foundation,Hybrid
The Ong Family Foundation,NY,Asian American Federation,New York City,NY,2016,13000,Foundation,Hybrid
The Ong Family Foundation,NY,Asian American Federation,New York City,NY,2013,43524,Foundation,Hybrid
The Ong Family Foundation,NY,Asian American Federation,New York City,NY,2011,27892,Foundation,Hybrid
The Ong Family Foundation,NY,Asian American Federation,New York City,NY,2009,10000,Foundation,Hybrid
The Ong Family Foundation,NY,Asian American Federation,New York City,NY,2007,10000,Foundation,Hybrid
The Overbrook Foundation,NY,Asian American Federation,New York City,NY,2004,20000,Foundation,Hybrid
The Peter Dartley Charitable Trust,NY,Asian American Federation,New York City,NY,2006,23250,Foundation,Hybrid
The Starr Foundation,NY,Asian American Federation,New York City,NY,2006,100000,Foundation,Hybrid
The Starr Foundation,NY,Asian American Federation,New York City,NY,2003,100000,Foundation,Hybrid
The Tang Fund,NY,Asian American Federation,New York City,NY,2015,2000,Foundation,Hybrid
