Name,F.year,Incorporated,Panethnic,Address,Source,Website1,Website2,Website3,Contacted,Contact Info,Panethnic notes
Chinese American Student Exposure,2004,0,0,"P.O. Box 1129 New York, NY 10002–1129",National Directory of Nonprofit Organizations,http://www.casexpo.org,,,,,"""Our aim is to help those underserved and underprivileged asian youths to develop their social and leadership skills in order to prevent juvenile delinquency."""
Chinese Autism Resource Center,2005,1,0,"Room 100, 71 Cedar Grove Lane Somerset, NJ 08873",National Directory of Nonprofit Organizations,https://www.chineseautism.org/?page_id=25,,,,732-868-6700,
Chinese Committee on Aging of Los Angeles,1976,1,0,600 N. Broadway Los Angeles CA 90012,National Directory of Nonprofit Organizations,https://locator.lacounty.gov/lac/Location/3173804/chinese-committee-on-aging,,,no,,
Chinese Community Action Coalition,1988,0,0,"P.O. Box 10758 Honolulu, Hawaii 96816",National Directory of Nonprofit Organizations,http://cisani.org/members/ccac/,,,,,
Chinese Community Center ,1979,0,1,"9800 Town Park Dr., Houston, TX 77036",National Directory of Nonprofit Organizations,https://ccchouston.org,,,,,"""The Chinese Community Center is a multi-ethnic organization serving all Houstonians."""
Chinese Community Center Of The Peninsula,1969,0,0,"470 Anton Court Palo Alto, CA 94301-4203",National Directory of Nonprofit Organizations,https://www.smc-connect.org/locations/chinese-community-center-of-the-peninsula,http://www.chineseamericancf.org/organizations/chinese-americans-center-peninsula/,,,,
Chinese Community Health Care Association,1982,0,0,"445 Grant Avenue, Suite 300, San Francisco, CA 94108",National Directory of Nonprofit Organizations,https://www.cchca.com,,,,,
Chinese Community Health Resourcecenter,1989,0,0,"835 Jackson Street, Room 425, San Francisco, CA 94133",National Directory of Nonprofit Organizations,website down?,www.cchrchealth.org,http://www.chineseamericancf.org/organizations/chinese-community-health-resource-center/,,,
Chinese Consolidated Benevolent Association,1883,0,0,"62 Mott Street, New York, NY 10013",National Directory of Nonprofit Organizations,https://www.ccbanyc.org/,,,,,
Chinese Giving Circle,2016,0,0,"P.O. Box 17, Albertson, NY 11507",National Directory of Nonprofit Organizations,http://www.chinesegivingcircle.org/,,,,,
Chinese Hospital Association,1925,0,0,"845 Jackson St, San Francisco",National Directory of Nonprofit Organizations,http://www.chinesehospital-sf.org,,,,,
Chinese Immigrants Service,1993,1,0,"13508 Booth Memorial Ave Flushing, NY 11355",National Directory of Nonprofit Organizations,,https://www.guidestar.org/profile/11-2775796,,no,,
Chinese Information and Service Center,1972,0,1,"611 S Lane St Seattle, WA 98104",National Directory of Nonprofit Organizations,http://cisc-seattle.org,,,,,
Chinese Mutual Aid Association,1981,0,1,"1016 West Argyle Street Chicago, IL 60640",National Directory of Nonprofit Organizations,https://www.chinesemutualaid.org,,,,,"""Originally formed by ethnic Chinese immigrants from Vietnam, the organization has grown to represent clients from a multitude of ethnicities, including immigrants from the Philippines, Burma, Ethiopia, and Russia.  CMAA is particularly proud of its diversity, as shown by its Board President being of Korean descent, and its Executive Director being a first-generation immigrant from the Philippines. CMAA staff speak over twenty languages. """
Chinese Newcomers Service Center,1969,0,0,"777 Stockton Street, Suite 104 San Francisco, CA 94108",National Directory of Nonprofit Organizations,http://www.chinesenewcomers.org/en/front-page/,,,,,
Chinese Service Center Of San Diego,1974,0,0,"5075 Ruffin Rd. Ste A San Diego, CA 92123",National Directory of Nonprofit Organizations,http://cisani.org/members/cscsd/,,,,,
Chinese Service Center USA,2007,1,0,"Paramus, NJ 07653-8122 USA",National Directory of Nonprofit Organizations,http://csc-usa.org,https://www.facebook.com/pg/ChineseServiceCenterUSA/about/?ref=page_internal,,yes,info@chineseservicecenter.org,
Chinese Social Service Center,2002,0,0,"4111 Central Ave NE, Suite 200A, south building, Columbia Heights, MN 55421",National Directory of Nonprofit Organizations,https://www.csscmn.info,,,,,
Chinese-American Planning Council,1965,0,1,,,,,,,,
Chinese-American Sunshine House Inc,2011,0,0,"837 58th St, 3rd Floor Brooklyn, N.Y. 11220",National Directory of Nonprofit Organizations,http://www.chinesesunshinehouse.org,,,,,
Cleveland Chinese Senior Citizens Association,1991,1,0,3843 Payne Ave Cleveland  OH 44114,National Directory of Nonprofit Organizations,,,,no data??,,
Council of Overseas Chinese Services ,2005,0,0,"430 E 6th street, Suite #13A, New York, NY 10009",National Directory of Nonprofit Organizations,https://www.cocservices.org,,,,,
Eastern Trends Chinese Community Service Association,2001,1,0,,National Directory of Nonprofit Organizations,,,,no data??,,
Greater Boston Chinese Golden Age Center ,1972,0,1,"75 Kneeland Street, Suite 204, Boston, MA 02111",National Directory of Nonprofit Organizations,http://www.gbcgac.org,,,,,"""Greater Boston Chinese Golden Age Center is a nonprofit organization that has been serving the Asian elderly since 1972."""
Greater Chinatown Community Association,1965,0,0,"105 Mosco Street New York, NY 10013",National Directory of Nonprofit Organizations,https://gccanyc.org,,,,,"""The Greater Chinatown Community Association (GCCA) is a community based organization that serves low income Chinese immigrants by providing culturally competent social service consultation and educational programs."""
Greater Nashville Chinese Association,1984,0,0,"Nashville, TN 37211-5954 USA",National Directory of Nonprofit Organizations,https://gncamembers.com,,,,,
Greater Philadelphia Overseas Chinese Association,1982,1,0,"1108 S. 5th Street Philadelphia, PA 19147",National Directory of Nonprofit Organizations,,http://www.pcacares.org/service_provider/greater-philadelphia-overseas-chinese-association/,,Member organization of Southeast Asian Mutual Assistance Associations Coalition Inc?,,
Hospitality Center For Chinese,1992,0,0,"1407 Cleveland Ave North St. Paul, MN 55108",National Directory of Nonprofit Organizations,https://hcchinese.org/about/,,,,,
Idaho Chinese Organization,2012,0,0,"Boise, ID 83711-4624 USA",National Directory of Nonprofit Organizations,http://idahochinese.org,https://www.facebook.com/pg/Idaho-Chinese-Organization-570068269824390/about/?ref=page_internal,,,,
Los Angeles United Chinese Association,2017,1,0,"1690 W HOLT AVE STE D POMONA, CA 91768-3320",National Directory of Nonprofit Organizations,,https://orghunter.com/organization/814638035,,no data,,
Michigan Chinese Women Association,1990,0,0,"Troy, MI 48099-9111 USA",National Directory of Nonprofit Organizations,http://micwa.org,,,,,
Minnesota Chinese Health Center,2004,0,1,"1925 West County Road B2 Roseville, MN 55113",National Directory of Nonprofit Organizations,,https://www.givemn.org/organization/Minnesota-Chinese-Health-Center,,,,"""Our patients are mostly from the Chinese immigrant community, many of whom have limited medical access due to language and financial barriers. However, MCHC is open to all communities and has served non-Chinese Americans, Southeast Asians, East Indians and Russian patients as well."""
Overseas Chinese Institute n Aging,2000,1,0,"546 Clement St C, San Francisco, CA 94118",National Directory of Nonprofit Organizations,,http://www.nonprofitfacts.com/CA/Overseas-Chinese-Institute-On-Aging.html,,no data,,
Palolo Chinese Home,1896,0,0,"2459 10th Ave, Honolulu, HI 96816",National Directory of Nonprofit Organizations,http://palolohome.org,,,,,"""The Chinese believed in the concept of “filial piety,” a deep sense of caring for elder family members. Palolo Chinese Home has carried on that tradition for more than a century and serves all of Hawaii. Palolo Chinese Home is now a preferred, premier provider of long term care among Hawaii’s families, serving men and women of all ethnicities."""
Philadelphia Chinatown Development Corporation,1969,0,1,"301-305 North 9th Street Philadelphia, PA 19107",National Directory of Nonprofit Organizations,http://chinatown-pcdc.org,,,,,
Phoenix Chinese Senior Citizens Association,1968,0,0,"734 W. Elm St. Phoenix, Arizona",National Directory of Nonprofit Organizations,http://www.phoenixchineseunited.org/members/phoenix-chinese-senior-citizen-association/,,,,,
Sacramento Chinese Community Service Center,1978,0,1,"420 I Street, Suite 5, Sacramento, CA 95814",National Directory of Nonprofit Organizations,https://www.sccsc.org,,,,,"""In the last two decades, we have expanded our programs to assist non-Chinese immigrants, refugees, and other disadvantaged groups within the Sacramento area, serving more than 5,000 multicultural clients daily."""
Us Chinese Anti-Cancer Association,2008,0,0,"Martinez, CA 94553-4830 USA",National Directory of Nonprofit Organizations,http://www.uscaca.org,,,,,
Washington DC Chinese Legal Association,2012,0,0,"Mclean, VA 22101-2137 USA",National Directory of Nonprofit Organizations,https://dccla.weebly.com,,,,,
Washington State Chinese Cancer Network Association,2002,0,0,"Po Box 14606 SEATTLE, Washington 98114-0606",National Directory of Nonprofit Organizations,,https://causes.benevity.org/causes/840-651208044,,,,
Wkp Chinese Community Services Corp,2013,0,0,"1566 78th St, Brooklyn, NY 11228",National Directory of Nonprofit Organizations,,https://nylocalizer.com/biz/4473208/wkp-chinese-community-services-corp,,,,
The Seattle Chinatown International District Preservation and Development Authority,1975,0,1,,,,,,,,
