Name,F.year,Address,States,City,County,Type
Asian American Economic Development Enterprises,1977,"216 Garvey Ave # E, Monterey Park, CA 91754",CA,MONTEREY PARK,LOS ANGELES,CBO
Asian American Recovery Services,1967,"2166 Hayes St #206, San Francisco, CA 94117",CA,SAN FRANCISCO,SAN FRANCISCO,CBO
Asian American Donor Program,1989,"2169 Harbor Bay Pkwy, Alameda, CA 94502",CA,ALAMEDA,ALAMEDA,CBO
Kokua Kalihi Valley,1972,"2239 N School St. Honolulu, HI 96819",HI,HONOLULU,HONOLULU,CBO
Midwest Asian Health Assoctation - MAHA,2003,"230 W. Cermak Rd, 2nd Floor Chicago, IL 60616",IL,CHICAGO,COOK,CBO
Asian Pacific Islander Small Business Program,1999,"231 E Third St Los Angeles, CA 90013-1494",CA,LOS ANGELES,LOS ANGELES,CBO
Little Tokyo Service Center,1979,"231 E. Third St., Suite G-106, Los Angeles, CA 90013",CA,LOS ANGELES,LOS ANGELES,CBO
National Queer Asian Pacific Islander Alliance,2007,233 Fifth Avenue Suite 4A New York NY 10016,NY,NEW YORK,NEW YORK,Advocacy
Asian Americans for Community Involvement,1976,"2400 Moorpark Avenue Suite 300,San Jose, CA 95128 USA",CA,SAN JOSE,SANTA CLARA,Hybrid
Asian Media Access,1992,"2418 Plymouth Ave N, Minneapolis, MN 55411",MN,MINNEAPOLIS,HENNEPIN,Hybrid
Asian Pacific Womens Center,1998,"244 S. San Pedro St Suite 504 Los Angeles, 90012",CA,LOS ANGELES,LOS ANGELES,CBO
Asian American Council,2009,"25 E FORAKER ST,DAYTON, OH 45409",OH,DAYTON,MONTGOMERY,Hybrid
National Asian Womens Health Organization,1993,"250 Montgomery Street, Suite1500, San Francisco, CA 94104",CA,SAN FRANCISCO,SAN FRANCISCO,Advocacy
Midwest Asian American Center,1998,"2534 W Devon Ave, Chicago, IL 60659",IL,CHICAGO,COOK,CBO
Community Health for Asian Americans,1997,"255 International Boulevard, Oakland, CA 94606",CA,OAKLAND,ALAMEDA,CBO
Asian American Christian Counselling Service,1986,"2550 W Main St #202, Alhambra, CA 91801 ",CA,ALHAMBRA,LOS ANGELES,CBO
Center for Asian Americans United for Self Empowerment,1993,"260 So. Los Robles Ave., No. 115, Pasadena, CA 91101",CA,PASADENA,LOS ANGELES,Advocacy
Charles B. Wang Community Health Center,1971,"268 Canal Street, 6th Floor New York, NY, 10013",NY,NEW YORK,NEW YORK,CBO
Asian Evergreen Housing Corporation,1996,"26949 CHAGRIN BLVD STE 208 BEACHWOOD, OH 44122",OH,BEACHWOOD,CUYAHOGA,CBO
Pacific Asian Empowerment Program,1986,"270 So. Hanford Street, Suite 204 Seattle, WA 98134 ",WA,SEATTLE,KING,CBO
TOFA,2000,"2730 Florin Rd. Sacramento, CA 95822",CA,SACRAMENTO,SACRAMENTO,Hybrid
Asian Pacific American Network of Oregon,1996,"2788 SE 82nd Ave #203, Portland, OR 97266",OR,PORTLAND,MULTNOMAH,Hybrid
Asian American Institute for Research and Education,1997,"2800 Koppers Building, 436 Seventh Avenue, Pittsburgh, PA 15219-1818",PA,PITTSBURGH,ALLEGHENY,CBO
National Association for Asian and Pacific American Education,1977,"28905 Golden Meadow Dr, Rancho Palos Verdes, CA 90275",CA,RANCHO PALOS VERDES,LOS ANGELES,Hybrid
Asian Outreach Services,2015,"290 BROKAW RD,SANTA CLARA, CA 95050",CA,SAN JOSE,SANTA CLARA,CBO
Asian American Drug Abuse Program,1972,"2900 S. Crenshaw Blvd, Los Angeles, CA 90016",CA,LOS ANGELES,LOS ANGELES,CBO
Chinatown Youth Center Initiative,2011,"299 13th Street, Oakland, CA 94612",CA,OAKLAND,ALAMEDA,CBO
Asian Americans/Pacific Islanders in Philanthropy,1990,"300 Frank H. Ogawa Plaza, Suite 256, Oakland CA 94612",CA,OAKLAND,ALAMEDA,Hybrid
Asian Communities for Reproductive Justice,1989,"300 Frank H. Ogawa Plaza, Suite 700, Oakland, CA 94612 ",CA,OAKLAND,ALAMEDA,CBO
Philadelphia Chinatown Development Corporation,1969,"301-305 North 9th Street Philadelphia, PA 19107",PA,PHILADELPHIA,PHILADELPHIA,Hybrid
Asian Pacific Islander Queer Sacramento Coalition,2015,"3039 Twitchell Island Rd, West Sacramento, CA, 95691-5929",CA,SACRAMENTO,SACRAMENTO,CBO
Asian Immigrant Women Advocates,1983,"310 8th Street #301 Oakland, CA 94607",CA,OAKLAND,ALAMEDA,Advocacy
Asian Community Mental Health Board,1974,"310 8th Street, Suite 201 Oakland, CA 94607",CA,OAKLAND,ALAMEDA,CBO
International District Improvement Association,1969,"310 Maynard Ave South, Seattle, WA 98104 ",WA,SEATTLE,KING,Hybrid
Asian Youth Services,1992,"3117 W. Lawrence Chicago, IL 60625",IL,CHICAGO,COOK,CBO
United Asian Services of Wisconsin,1984,"312 N. Third St. Madison, WI, 53704",WI,MADISON,DANE,CBO
New York Asian Women's Center,1982,"32 Broadway, 10th Floor New York, NY 10004",NY,NEW YORK,NEW YORK,CBO
Massachusetts Asian AIDS Prevention Project,1993,"322 Tremont St Boston, MA 02116",MA,BOSTON,SUFFOLK,CBO
NAMI Asian Pacific Los Angeles,1986,"3250 Wilshire Blvd., Suite 1501 Los Angeles , CA 90010 ",CA,LOS ANGELES,LOS ANGELES,Hybrid
Asian Pacific Community in Action,2002,"326 E Coronado Road, Suite 200, Phoenix, AZ 85004",AZ,PHOENIX,MARICOPA,CBO
Leadership Education for Asian Pacific,1982,"327 E. 2nd Street, Suite 226 Los Angeles, CA 90012",CA,LOS ANGELES,LOS ANGELES,CBO
Asian American Civic Organization,2013,"334 HUNTERS RUN DR, BEL AIR, MD 21015",MD,BEL AIR,HARFORD,CBO
National Asian Pacific American Families Against Substance Abuse,1988,"340 E 2nd St #409, Los Angeles, CA 90012",CA,LOS ANGELES,LOS ANGELES,CBO
Asian Pacific Americans for Progress,2004,"340 S Lemon Ave, Unit 5588, Walnut ",CA,WALNUT,LOS ANGELES,Hybrid
Center for the Pacific Asian Family,1978,"3424 Wilshire Blvd., Suite #1000 Los Angeles, CA 90010",CA,LOS ANGELES,LOS ANGELES,CBO
Asian American Advocacy Clinic,2012,"3430 E FLAMINGO RD STE 100,LAS VEGAS, NV 89121",NV,LAS VEGAS,CLARK,CBO
Asian Health and Service Center,1983,"3430 SE Powell Blvd, Portland, OR 97202",OR,PORTLAND,MULTNOMAH,CBO
Center for Pan Asian Community Services,1980,"3510 Shallowford Road NE Atlanta, GA 30341",GA,ATLANTA,FULTON,Hybrid
Asian Womens Shelter,1988,"3543 18th Street # 19 San Francisco, CA 94110",CA,SAN FRANCISCO,SAN FRANCISCO,CBO
Asian American Committee on Crime,1989,"360 A 8th St Oakland, CA ",CA,OAKLAND,ALAMEDA,CBO
Asian Advisory Committee on Crime,1989,"360 A 8TH ST,OAKLAND, CA 94607",CA,OAKLAND,ALAMEDA,CBO
Asian American Relief Organization of Wisconsin,2009,"3620 E Layton Ave Ste 22, Cudahy, Wisconsin 53110-1462",WI,CUDAHY,MILWAUKEE,CBO
Asian American Resource Foundation,1998,"3635 Peachtree Industrial Blvd #450, Duluth, GA 30096  ",GA,DULUTH,GWINNETT,CBO
Asian Counseling and Referral Service,1973,"3639 Martin Luther King Jr Way S, Seattle, WA 98108",WA,SEATTLE,KING,CBO
Asian Pacific Islander Coalition,1996,"3639 Martin Luther King Jr. Way S, Seattle, WA 98144",WA,SEATTLE,KING,Advocacy
Minnesota Asian/American Health Coalition,1999,"3702 E Lake St, Suite 150, Minneapolis, MN, 55406",MN,MINNEAPOLIS,HENNEPIN,Advocacy
Washington Asian Pacific Islander Community Services,1990,"3722 S Hudson St, Seattle, WA 98118",WA,SEATTLE,KING,CBO
Asian Community Development Corporation,1987,"38 OAK STREET, BOSTON, MA 02111",MA,BOSTON,SUFFOLK,Hybrid
Asian Pacific Self-Development and Residential Association,1989,"3830 Alvarado Ave # C Stockton, CA 95204-2350",CA,STOCKTON,SAN JOAQUIN,CBO
Asian Pacific Self-Development and Residencial Association,1991,"3830 Alvarado Ave Ste C Stockton, CA 95204",CA,STOCKTON,SAN JOAQUIN,CBO
Asian American Center of Santa Clara County,2000,3845 Wellington San Jose CA 95136,CA,SAN JOSE,SANTA CLARA,CBO
Asian American Community Center of Santa Clara County,2000,"3845 WELLINGTON SQ, SAN JOSE, CA 95136",CA,SAN JOSE,SANTA CLARA,CBO
NY Coalition for Asian American Mental Health,1990,"39 Bowery PMB #133 New York, NY 10002",NY,NEW YORK,NEW YORK,CBO
Asian Health and Social Service Council,1978,"39 BOWERY PMB 135,NEW YORK , NY 10002",NY,NEW YORK,NEW YORK,CBO
Asian and Pacific Islander Coalition on HIV/AIDS,1989,"400 Broadway New York, NY 10013",NY,NEW YORK,NEW YORK,CBO
Asian Pacific Environmental Network Action,1993,"400 Capitol Mall Sacramento, CA, 95814",CA,SACRAMENTO,SACRAMENTO,Advocacy
Asian Pacific Islander American Public Affairs Association,2001,"4000 Truxel Road, Suite 3 Sacramento, CA 95834",CA,SACRAMENTO,SACRAMENTO,Advocacy
The Seattle Chinatown International District Preservation and Development Authority,1975,"409 Maynard Ave. S. Suite P2 Seattle, WA 98104",WA,SEATTLE,KING,CBO
Asian American Community Service Center,2012,"4187 NE EXPRESS WAY,ATLANTA , GA 30340",GA,ATLANTA,FULTON,CBO
Asian American Resource Workshop,1979,"42 Seaverns Avenue,Boston, MA 02130 USA",MA,BOSTON,SUFFOLK,Advocacy
Sacramento Chinese Community Service Center,1978,"420 I Street, Suite 5, Sacramento, CA 95814",CA,SACRAMENTO,SACRAMENTO,CBO
Dfw Asian American Citizens Council,2000,"420 Maplelawn Drive, Plano, Texas 75075",TX,PLANO,COLLIN,Advocacy
Asian Economic Development Association,2006,"422 University Ave W Suite 14, St Paul, MN 55103",MN,ST PAUL,RAMSEY,Hybrid
"Asian Pacific Partners for Empowerment, Advocacy, and Leadership",1994,"424 3rd. St., Suite 220, Oakland, CA 94607",CA,OAKLAND,ALAMEDA,Advocacy
Asian Pacific Environmental Network,1991,"426 17th Street, Suite 500, Oakland",CA,OAKLAND,ALAMEDA,Advocacy
Vision New America,1997,"4340 Stevens Creek Boulevard, Suite 166, San Jose, CA 95129",CA,SAN JOSE,SANTA CLARA,CBO
Asian Center of Merrimack Valley,1987,"439 S. Union St. Building 2, Basement Lawrence, MA 01843 ",MA,LAWRENCE,ESSEX,CBO
National Council of Asian Pacific Islander Physicians,2008,"445 Grant Ave, San Francisco, CA 94108",CA,SAN FRANCISCO,SAN FRANCISCO,Advocacy
Pacific Asian American Women Bay Area Coalition,1980,"450 Taraval St Pmb 283 San Francisco, CA 94116-2530",CA,SAN FRANCISCO,SAN FRANCISCO,CBO
Asian American Voice,2015,"455 CAPITOL MALL STE 600,SACRAMENTO, CA 95814",CA,SACRAMENTO,SACRAMENTO,Advocacy
Asian Pacific Fund,1993,"465 California Street, Suite 809, San Francisco, CA 94104",CA,SAN FRANCISCO,SAN FRANCISCO,CBO
Asian American Community Services,1976,"4700 Reed Rd # B, Columbus, OH 43220",OH,COLUMBUS,FRANKLIN,CBO
Asian Human Services,1978,"4753 N Broadway, Suite 700, Chicago, IL 60640",IL,CHICAGO,COOK,CBO
Southeast Asian Coalition of Central Massachusetts,1999,"484 Main St, Suite 400 Worcester, MA 01608",MA,WORCESTER,WORCESTER,CBO
Asian Pacific Health Foundation,2009,"4844 University Ave,San Diego, CA 92105",CA,SAN DIEGO,SAN DIEGO,CBO
Arizona Asian American Seniors Association,1988,"4932 W IVANHOE CT,CHANDLER , AZ 85226",AZ,CHANDLER,MARICOPA,Hybrid
Greater Philadelphia Asian Social Service Center,1993,"4943 N. 5th Street · Philadelphia, PA 19120",PA,PHILADELPHIA,PHILADELPHIA,Hybrid
Monsoon United Asian Women of Iowa,2003,"4952 Franklin Avenue, Des Moines, Iowa 50310 ",IA,DES MOINES,POLK,CBO
Coalition for Asian American Children and Families,1986,"50 Board St # 1837, New York, NY 10004",NY,NEW YORK,NEW YORK,Hybrid
Asian Pacific Institute on Gender Based Violence,2000,"500 12th Street, Suite 330 Oakland, CA 94607",CA,OAKLAND,ALAMEDA,CBO
Brooklyn Chinese-American Association,1987,"5000 8th Avenue, Brooklyn, NY 11220",NY,BROOKLYN,KINGS,Hybrid
Asian American Health Care,2009,"5070 Dorsey Hall Dr, Ellicott City, MD 21042",MD,ELLICOTT CITY,HOWARD,CBO
Asian American Education Institute,2008,"515 S FIGUEROA ST STE 1110,LOS ANGELES, CA 90071",CA,LOS ANGELES,LOS ANGELES,Advocacy
Asian American Curriculum Project,1969,"529 E 3rd Ave, San Mateo, CA 94401",CA,SAN MATEO,SAN MATEO,Advocacy
South Asian Youth Action,1996,"5405 Seabury St Elmhurst, NY 11373-4431",NY,ELMHURST,QUEENS,CBO
Asian Americans Advancing Justice - Asian Law Caucus,1972,"55 Columbus Avenue, San Francisco, CA 94111",CA,SAN FRANCISCO,SAN FRANCISCO,Hybrid
CAAAV Organizing Asian Communities,1986,"55 Hester Street, Storefront New York, NY 10002",NY,NEW YORK,NEW YORK,Advocacy
Asian American Service Association,1994,"550 Hancock St, Quincy, MA 02170",MA,QUINCY,NORFOLK,CBO
Asian American Developmental Intervention,2016,"5516 HARMONY AVE,LAS VEGAS, NV 89107",NV,LAS VEGAS,CLARK,CBO
Arizona Asian and Pacific Islander American Vote Table,2016,"5520 N SILVER STREAM WAY,TUCSON, AZ 85704",AZ,TUCSON,PIMA,Advocacy
Southeast Asian Assistance Center,1977,"5625 24th St Sacramento, CA 95822-2233 USA",CA,SACRAMENTO,SACRAMENTO,CBO
Asian Resources,1980,"5709 Stockton Blvd, Sacramento, CA 95824",CA,SACRAMENTO,SACRAMENTO,Hybrid
Asian American Suicide Prevention Initiative,2008,"5815 N SHERIDAN RD APT 1102, CHICAGO , IL 60660",IL,CHICAGO,COOK,CBO
Asian Americans Advancing Justice - Atlanta (Asian American Legal Advocacy Center ),2008,"6040 Unity Dr e, Norcross, GA 30071",GA,NORCROSS,GWINNETT,Hybrid
Asian Help Services,1986,"609 E. 29th Street Indianapolis, IN 46205",IN,INDIANAPOLIS,MARION,CBO
Chinese Information and Service Center,1972,"611 S Lane St Seattle, WA 98104",WA,SEATTLE,KING,CBO
Asian American Health,2012,"6212 N Lincoln Ave, Chicago, IL 60659",IL,CHICAGO,COOK,CBO
Asian Development Service Group Nfp,2016,"625 W MADISON ST APT 3211, CHICAGO, IL 60661",IL,CHICAGO,COOK,CBO
