City_names,States,Santuary_cities,Anti_immigration_ordinances,Municipal_ID,Driver_license,Education_equity,Citizenship_support,Non-citizen_voting,County_ordinances,City_fund,County_fund,Total,County_names,OEO_fund,Total_pop,Black_pop,Asian_pop,Latino_pop,Asian_per,Latino_per,A2B,L2B,election_1980
OXNARD,CA,0,0,0,1,1,0,0,0,22797300,32691500,55488800,ALAMEDA,19.23813629,1105379,200950,85899,129962,7.770999811,11.7572344,0.4274645434,0.6467379945,44.01
SAN LEANDRO,CA,0,0,0,1,1,0,0,0,9370750,32691500,42062250,ALAMEDA,19.23813629,1105379,200950,85899,129962,7.770999811,11.7572344,0.4274645434,0.6467379945,44.01
RICHMOND,CA,1,0,1,1,1,0,0,0,0,45033260,45033260,CONTRA COSTA,15.84362125,656380,59498,30563,55820,4.656296657,8.504220116,0.5136811321,0.9381827961,57.3
FRESNO,CA,1,1,0,1,1,0,0,0.02631578947,72483850,64696000,137179850,FRESNO,18.70967484,514621,24557,14777,150790,2.87143354,29.30117504,0.6017428839,6.14040803,55.84
EUREKA,CA,0,0,0,1,1,0,0,0,1165650,0,1165650,HUMBOLDT,3.201596022,108514,530,944,3736,0.8699338334,3.442873731,1.781132075,7.049056604,58.39
BAKERSFIELD,CA,0,0,0,1,1,0,0,0,15613320,63013000,78626320,KERN,9.303761482,403089,20779,7723,87026,1.915954045,21.58977298,0.371673324,4.188170749,63.93
KEENE,CA,0,0,0,1,1,0,0,0,0,63013000,63013000,KERN,9.303761482,403089,20779,7723,87026,1.915954045,21.58977298,0.371673324,4.188170749,63.93
ALHAMBRA,CA,0,0,0,1,1,0,0,0,13127000,387933676,401060676,LOS ANGELES,19.80056572,7477503,926360,434850,2066103,5.815444006,27.63092171,0.4694179369,2.230345654,55.55
ARTESIA,CA,0,0,0,1,1,0,0,0,0,387933676,387933676,LOS ANGELES,19.80056572,7477503,926360,434850,2066103,5.815444006,27.63092171,0.4694179369,2.230345654,55.55
BEVERLY HILLS,CA,0,0,0,1,1,0,0,0,0,387933676,387933676,LOS ANGELES,19.80056572,7477503,926360,434850,2066103,5.815444006,27.63092171,0.4694179369,2.230345654,55.55
BURBANK,CA,0,0,0,1,1,0,0,0,16045000,387933676,403978676,LOS ANGELES,19.80056572,7477503,926360,434850,2066103,5.815444006,27.63092171,0.4694179369,2.230345654,55.55
ENCINO,CA,0,0,0,1,1,0,0,0,0,387933676,387933676,LOS ANGELES,19.80056572,7477503,926360,434850,2066103,5.815444006,27.63092171,0.4694179369,2.230345654,55.55
GARDENA,CA,0,0,0,1,1,0,0,0,0,387933676,387933676,LOS ANGELES,19.80056572,7477503,926360,434850,2066103,5.815444006,27.63092171,0.4694179369,2.230345654,55.55
HACIENDA HEIGHTS,CA,0,0,0,1,1,0,0,0,0,387933676,387933676,LOS ANGELES,19.80056572,7477503,926360,434850,2066103,5.815444006,27.63092171,0.4694179369,2.230345654,55.55
HAWTHORNE,CA,0,0,0,1,1,0,0,0,7979000,387933676,395912676,LOS ANGELES,19.80056572,7477503,926360,434850,2066103,5.815444006,27.63092171,0.4694179369,2.230345654,55.55
LYNWOOD,CA,1,0,0,1,1,0,0,0,3664000,387933676,391597676,LOS ANGELES,19.80056572,7477503,926360,434850,2066103,5.815444006,27.63092171,0.4694179369,2.230345654,55.55
MONTEBELLO,CA,1,0,0,1,1,0,0,0,4833000,387933676,392766676,LOS ANGELES,19.80056572,7477503,926360,434850,2066103,5.815444006,27.63092171,0.4694179369,2.230345654,55.55
MONTEREY PARK,CA,0,0,0,1,1,0,0,0,7374050,387933676,395307726,LOS ANGELES,19.80056572,7477503,926360,434850,2066103,5.815444006,27.63092171,0.4694179369,2.230345654,55.55
NORTHRIDGE,CA,0,0,0,1,1,0,0,0,0,387933676,387933676,LOS ANGELES,19.80056572,7477503,926360,434850,2066103,5.815444006,27.63092171,0.4694179369,2.230345654,55.55
PASADENA,CA,0,0,0,1,1,0,0,0,33727650,387933676,421661326,LOS ANGELES,19.80056572,7477503,926360,434850,2066103,5.815444006,27.63092171,0.4694179369,2.230345654,55.55
PICO RIVERA,CA,1,0,0,1,1,0,0,0,11503000,387933676,399436676,LOS ANGELES,19.80056572,7477503,926360,434850,2066103,5.815444006,27.63092171,0.4694179369,2.230345654,55.55
POMONA,CA,0,0,0,1,1,0,0,0,19292700,387933676,407226376,LOS ANGELES,19.80056572,7477503,926360,434850,2066103,5.815444006,27.63092171,0.4694179369,2.230345654,55.55
RANCHO PALOS VERDES,CA,0,0,0,1,1,0,0,0,0,387933676,387933676,LOS ANGELES,19.80056572,7477503,926360,434850,2066103,5.815444006,27.63092171,0.4694179369,2.230345654,55.55
SAN GABRIEL,CA,0,0,0,1,1,0,0,0,0,387933676,387933676,LOS ANGELES,19.80056572,7477503,926360,434850,2066103,5.815444006,27.63092171,0.4694179369,2.230345654,55.55
WALNUT,CA,0,0,0,1,1,0,0,0,0,387933676,387933676,LOS ANGELES,19.80056572,7477503,926360,434850,2066103,5.815444006,27.63092171,0.4694179369,2.230345654,55.55
WEST COVINA,CA,0,0,0,1,1,0,0,0,8533000,387933676,396466676,LOS ANGELES,19.80056572,7477503,926360,434850,2066103,5.815444006,27.63092171,0.4694179369,2.230345654,55.55
WHITTIER,CA,0,0,0,1,1,0,0,0,8616471,387933676,396550147,LOS ANGELES,19.80056572,7477503,926360,434850,2066103,5.815444006,27.63092171,0.4694179369,2.230345654,55.55
LOS ANGELES,CA,1,0,1,1,1,1,0,0,757487686,387933676,1145421362,LOS ANGELES,19.80056572,7477503,926360,434850,2066103,5.815444006,27.63092171,0.4694179369,2.230345654,55.55
LARKSPUR,CA,0,0,0,1,1,0,0,0,0,24627760,24627760,MARIN,6.877466679,222568,5375,5426,9204,2.437906617,4.135365371,1.009488372,1.712372093,55.88
SAN RAFAEL,CA,0,0,0,1,1,0,0,0,0,24627761,24627761,MARIN,6.877466679,222568,5375,5426,9204,2.437906617,4.135365371,1.009488372,1.712372093,55.88
NAPA,CA,1,0,0,1,1,0,0,0,13531000,0,13531000,NAPA,10.94141769,99199,866,2095,8636,2.111916451,8.705732921,2.419168591,9.972286374,61.33
GARDEN GROVE,CA,0,0,0,1,1,0,0,0,16865700,60841460,77707160,ORANGE,3.746433496,1932709,24411,86893,286339,4.495917388,14.81542229,3.559583794,11.72991684,74.99
IRVINE,CA,0,0,0,1,1,0,0,0,2156000,60841460,62997460,ORANGE,3.746433496,1932709,24411,86893,286339,4.495917388,14.81542229,3.559583794,11.72991684,74.99
NEWPORT BEACH,CA,0,0,0,1,1,0,0,0,5380000,60841460,66221460,ORANGE,3.746433496,1932709,24411,86893,286339,4.495917388,14.81542229,3.559583794,11.72991684,74.99
SANTA ANA,CA,0,0,0,1,1,0,0,0,40504770,60841460,101346230,ORANGE,3.746433496,1932709,24411,86893,286339,4.495917388,14.81542229,3.559583794,11.72991684,74.99
INDIO,CA,0,0,0,1,1,0,0,0,0,75396400,75396400,RIVERSIDE,16.41150665,663166,30088,9210,124417,1.38879255,18.76106435,0.3061021005,4.135103696,65.52
MURRIETA,CA,0,0,0,1,1,0,0,0,0,75396400,75396400,RIVERSIDE,16.41150665,663166,30088,9210,124417,1.38879255,18.76106435,0.3061021005,4.135103696,65.52
RIVERSIDE,CA,1,0,0,1,1,0,0,0,31148247,75396400,106544647,RIVERSIDE,16.41150665,663166,30088,9210,124417,1.38879255,18.76106435,0.3061021005,4.135103696,65.52
WINCHESTER,CA,0,0,0,1,1,0,0,0,0,75396400,75396400,RIVERSIDE,16.41150665,663166,30088,9210,124417,1.38879255,18.76106435,0.3061021005,4.135103696,65.52
SACRAMENTO,CA,1,0,0,1,1,0,0,0,59677289,61311113,120988402,SACRAMENTO,38.2382431,783381,57883,39156,74141,4.998334144,9.464232602,0.6764680476,1.280876941,54.17
COLTON,CA,0,0,0,1,1,0,0,0.01960784314,0,93557498,93557498,SAN BERNARDINO,10.64819241,895016,46615,14929,165863,1.668014873,18.53184748,0.3202617183,3.558146519,65.33
FONTANA,CA,0,0,0,1,1,0,0,0.01960784314,0,93557498,93557498,SAN BERNARDINO,10.64819241,895017,46616,14930,165864,1.66812474,18.5319385,0.3202763,3.558091642,65.33
SAN BERNARDINO,CA,1,1,0,1,1,0,0,0.01960784314,33596800,93557498,127154298,SAN BERNARDINO,10.64819241,895018,46617,14931,165865,1.668234605,18.53202952,0.320290881,3.558036768,65.33
CARLSBAD,CA,0,0,0,1,1,0,0,0,0,75375500,75375500,SAN DIEGO,10.83752537,1861846,102165,89861,275177,4.826446441,14.77979382,0.8795673665,2.693456663,69.05
CHULA VISTA,CA,1,0,0,1,1,0,0,0,11893541,75375500,87269041,SAN DIEGO,10.83752537,1861846,102165,89861,275177,4.826446441,14.77979382,0.8795673665,2.693456663,69.05
SAN DIEGO,CA,1,0,0,1,1,0,0,0,151756850,75375500,227132350,SAN DIEGO,10.83752537,1861846,102165,89861,275177,4.826446441,14.77979382,0.8795673665,2.693456663,69.05
SAN FRANCISCO,CA,1,0,1,1,1,1,1,0,336752755,0,336752755,SAN FRANCISCO,33.98111725,678974,84857,147426,83373,21.71305529,12.27926253,1.737346359,0.9825117551,37.81
STOCKTON,CA,0,0,0,1,1,0,0,0,35857452,7454673,43312125,SAN JOAQUIN,11.90849686,347342,18444,19888,66565,5.725768839,19.16410915,1.078291043,3.609032748,60.9
BURLINGAME,CA,0,0,0,1,1,0,0,0,0,42537600,42537600,SAN MATEO,9.29901123,587329,34730,56305,73339,9.586620106,12.48686852,1.621220847,2.111690181,57.15
DALY CITY,CA,0,0,0,1,1,0,0,0,10402000,42537600,52939600,SAN MATEO,9.29901123,587329,34730,56305,73339,9.586620106,12.48686852,1.621220847,2.111690181,57.15
SAN MATEO,CA,1,0,0,1,1,0,0,0,9596180,42537600,52133780,SAN MATEO,9.29901123,587329,34730,56305,73339,9.586620106,12.48686852,1.621220847,2.111690181,57.15
SANTA BARBARA,CA,1,0,0,1,1,0,0,0,13513450,442500,13955950,SANTA BARBARA,7.136254787,298694,7554,8344,55356,2.793494345,18.53267893,1.104580355,7.328038125,63.14
CUPERTINO,CA,0,0,0,1,1,0,0,0,0,41398600,41398600,SANTA CLARA,15.97327805,1295071,42237,99935,226611,7.716565347,17.49795957,2.36605346,5.365224803,57.83
SAN JOSE,CA,1,0,0,1,1,1,0,0,89388900,41398600,130787500,SANTA CLARA,15.97327805,1295071,42237,99935,226611,7.716565347,17.49795957,2.36605346,5.365224803,57.83
SANTA CLARA,CA,1,0,0,1,1,0,0,0,11324800,41398600,52723400,SANTA CLARA,15.97327805,1295071,42237,99935,226611,7.716565347,17.49795957,2.36605346,5.365224803,57.83
SUNNYVALE,CA,0,0,0,1,1,0,0,0,11475011,41398600,52873611,SANTA CLARA,15.97327805,1295071,42237,99935,226611,7.716565347,17.49795957,2.36605346,5.365224803,57.83
WINDSOR,CA,1,0,0,1,1,0,0,0,NA,NA,NA,SONOMA,3.846538067,235203,27372,17377,24773,7.388086036,10.53260375,0.6348458279,0.9050489551,57.11
MODESTO,CA,0,0,0,1,1,0,0,0,13343000,0,13343000,STANISLAUS,14.14081097,265900,3035,4106,39889,1.544189545,15.00150432,1.352883031,13.14299835,55.26
RED BLUFF,CA,0,0,0,1,1,0,0,0,NA,NA,NA,TEHAMA,0,38888,58,191,2127,0.4911540835,5.46955359,3.293103448,36.67241379,65.42
LAKE MARY,CO,0,0,0,1,1,0,0,0,0,3304000,3304000,ADAMS,10.1336174,245944,6162,3120,38470,1.268581466,15.64177211,0.5063291139,6.243102889,57.78
AURORA,CO,1,1,0,1,1,0,0,0.07692307692,12797100,0,12797100,ARAPAHOE,2.098637342,293621,8318,4410,12491,1.501936169,4.254123513,0.530175523,1.501683097,72.53
GREENWOOD VILLAGE,CO,0,0,0,1,1,0,0,0.07692307692,NA,NA,NA,ARAPAHOE,2.098637342,293621,8318,4410,12491,1.501936169,4.254123513,0.530175523,1.501683097,72.53
LONGMONT,CO,0,0,0,1,1,0,0,0,4982000,0,4982000,BOULDER,37.19229889,189625,1708,2191,10293,1.155438365,5.42808174,1.282786885,6.026346604,58.88
LOUISVILLE,CO,0,0,0,1,1,0,0,0,NA,NA,NA,BOULDER,37.19229889,189625,1708,2191,10293,1.155438365,5.42808174,1.282786885,6.026346604,58.88
DENVER,CO,1,0,0,1,1,1,0,0,168406969,0,168406969,DENVER,32.44313049,492365,58408,7025,92348,1.426787038,18.75600418,0.1202746199,1.581084783,50.72
COLORADO SPRINGS,CO,0,0,0,1,1,0,0,0,32679650,0,32679650,EL PASO,8.059762001,309424,18651,5066,24994,1.637235638,8.077589327,0.2716208246,1.340089003,70.68
MONTROSE,CO,0,0,0,1,1,0,0,0,0,650000,650000,MONTROSE,0,24352,38,32,2323,0.1314060447,9.539257556,0.8421052632,61.13157895,74.97
PUEBLO,CO,0,0,0,1,1,0,0,0,21091040,1300000,22391040,PUEBLO,23.39406776,125972,2135,481,41631,0.3818308831,33.04782015,0.22529274,19.49929742,48.71
DANBURY,CT,0,1,0,1,1,0,0,0.04347826087,10524000,0,10524000,FAIRFIELD,8.576433182,807143,64334,6006,45112,0.744106063,5.589096356,0.09335654553,0.7012155314,61.95
SHELTON,CT,0,0,0,1,1,0,0,0.04347826087,NA,NA,NA,FAIRFIELD,8.576433182,807143,64334,6006,45112,0.744106063,5.589096356,0.09335654553,0.7012155314,61.95
HARTFORD,CT,1,0,1,1,1,0,0,0,117371604,0,117371604,HARTFORD,11.26089954,807766,65144,4676,41406,0.5788805174,5.125989457,0.07177944247,0.63560727,47.72
WATERBURY,CT,0,0,0,1,1,0,0,0,49029220,0,49029220,NEW HAVEN,23.04092979,761337,66484,4218,27313,0.5540253528,3.587504614,0.06344383611,0.4108206486,56.36
NEW HAVEN,CT,1,0,1,1,1,1,0,0,156456528,0,156456528,NEW HAVEN,23.04092979,761337,66484,4218,27313,0.5540253528,3.587504614,0.06344383611,0.4108206486,56.36
NEW LONDON,CT,0,0,0,1,1,0,0,0,33932350,0,33932350,NEW LONDON,12.2979393,238409,8721,2134,4668,0.8951004366,1.957979774,0.2446967091,0.5352597179,56.31
WASHINGTON DC,DC,1,0,0,1,0,0,0,0,360788430,0,360788430,DISTRICT OF COLUMBIA,67.62281036,638333,445154,6636,17679,1.039582788,2.769557582,0.01490720065,0.03971434605,15.22
PALM BAY,FL,0,0,0,0,1,0,0,0,451400,3098000,3549400,BREVARD,6.014039993,272959,23518,1739,5336,0.6370920175,1.954872343,0.07394336253,0.2268900417,64.04
HOLLYWOOD,FL,0,0,0,0,1,0,0,0,17593567,76831593,94425160,BROWARD,19.07982635,1018200,111258,4933,40315,0.48448242,3.959438224,0.04433838466,0.3623559654,61.09
WESTON,FL,0,0,0,0,1,0,0,0,0,76831593,76831593,BROWARD,19.07982635,1018200,111258,4933,40315,0.48448242,3.959438224,0.04433838466,0.3623559654,61.09
TAMPA,FL,1,0,0,0,1,0,0,0,87165450,48538200,135703650,HILLSBOROUGH,28.54716492,646960,64199,3833,64199,0.5924632126,9.923179176,0.05970497983,1,54.6
FORT MYERS,FL,0,0,0,0,1,0,0,0,8392000,0,8392000,LEE,14.28767967,205266,16084,586,5718,0.2854832266,2.785653737,0.03643372295,0.35550858,68.45
CORAL GABLES,FL,0,0,0,0,1,1,0,0,NA,NA,NA,MIAMI-DADE,24.76857948,1625781,269670,12264,580994,0.7543451424,35.73630151,0.04547780621,2.154462862,55.77
MIAMI,FL,1,0,0,0,1,1,0,0,161135960,0,161135960,MIAMI-DADE,24.76857948,1625781,269670,12264,580994,0.7543451424,35.73630151,0.04547780621,2.154462862,55.77
NORTH MIAMI,FL,0,0,0,0,1,1,0,0,NA,NA,NA,MIAMI-DADE,24.76857948,1625781,269670,12264,580994,0.7543451424,35.73630151,0.04547780621,2.154462862,55.77
ORLANDO,FL,0,0,0,0,1,0,0,0,25895905,47864623,73760528,ORANGE,7.972498417,471016,68608,3712,19726,0.788083632,4.187968137,0.05410447761,0.2875174907,64.2
BOCA RATON,FL,0,0,0,0,1,0,0,0,4998772,59101012,64099784,PALM BEACH,7.106262207,576863,76273,2148,28505,0.372358775,4.941381229,0.02816199704,0.3737233359,60.96
LAKE WORTH,FL,1,0,0,0,1,0,0,0,0,59101012,59101012,PALM BEACH,7.106262207,576863,76273,2148,28505,0.372358775,4.941381229,0.02816199704,0.3737233359,60.96
WEST PALM BEACH,FL,1,0,0,0,1,0,0,0,13750617,59101012,72851629,PALM BEACH,7.106262207,576863,76273,2148,28505,0.372358775,4.941381229,0.02816199704,0.3737233359,60.96
LAKELAND,FL,0,0,0,0,1,0,0,0,0,38215800,38215800,POLK,0,321652,47870,1054,9643,0.3276833348,2.997960529,0.02201796532,0.2014414038,57.93
VENICE,FL,0,0,0,0,1,0,0,0,NA,NA,NA,SARASOTA,6.96526432,202251,10352,704,2989,0.3480823333,1.477866611,0.06800618238,0.288736476,72.65
CASSELBERRY,FL,0,0,0,0,1,0,0,0,0,3416000,3416000,SEMINOLE,4.052762985,179752,17867,1294,5157,0.7198807246,2.868952779,0.07242402194,0.2886326748,69.63
ATHENS,GA,0,0,0,0,0,0,0,0,16456519,0,16456519,CLARKE,27.5533638,74498,17356,720,955,0.9664688985,1.281913608,0.04148421295,0.05502419912,43.49
SMYRNA,GA,0,0,0,0,0,0,0,0,0,12249390,12249390,COBB,2.155015945,297718,12947,1666,2840,0.5595899475,0.9539228397,0.1286784583,0.2193558353,57.03
DORAVILLE,GA,0,0,0,0,0,0,0,0,0,43127188,43127188,DEKALB,3.383299828,483024,129933,4633,7470,0.9591655901,1.546507006,0.03565683852,0.05749116853,47.51
ALPHARETTA,GA,0,0,0,0,0,0,0,0,0,12560000,12560000,FULTON,51.11833954,589904,300952,2926,7574,0.4960129106,1.283937725,0.009722480661,0.02516680401,35.34
ATLANTA,GA,0,0,0,0,0,1,0,0,197529730,12560000,210089730,FULTON,51.11833954,589905,300953,2927,7575,0.4961815886,1.284105068,0.009725771134,0.02517004316,35.34
EAST POINT,GA,0,0,0,0,0,0,0,0,0,12560000,12560000,FULTON,51.11833954,589906,300954,2928,7576,0.496350266,1.28427241,0.009729061584,0.0251732823,35.34
DULUTH,GA,0,0,0,0,0,0,0,0,0,2519000,2519000,GWINNETT,0,166903,4070,942,1426,0.5643996813,0.8543884771,0.2314496314,0.3503685504,55.32
LAWRENCEVILLE,GA,0,0,0,0,0,0,0,0,0,2519000,2519000,GWINNETT,0,166903,4070,942,1426,0.5643996813,0.8543884771,0.2314496314,0.3503685504,55.32
NORCROSS,GA,0,0,0,0,0,0,0,0,0,2519000,2519000,GWINNETT,0,166903,4070,942,1426,0.5643996813,0.8543884771,0.2314496314,0.3503685504,55.32
AUGUSTA,GA,0,0,0,0,0,0,0,0,40150594,0,40150594,RICHMOND,5.957541466,181629,67253,2293,3638,1.262463593,2.002984105,0.0340951333,0.05409424115,44.87
HONOLULU,HI,0,0,0,1,1,0,0,0,160722000,0,160722000,HONOLULU,13.90774059,762565,16200,451249,54561,59.17515228,7.154931055,27.85487654,3.367962963,50.8
DES MOINES,IA,0,0,0,0,0,0,0,0,73819402,0,73819402,POLK,13.77893353,303170,13570,2204,4579,0.72698486,1.510373718,0.1624170965,0.3374355195,50.86
COUNCIL BLUFFS,IA,0,0,0,0,0,0,0,0,13023000,0,13023000,POTTAWATTAMIE,0.030424904,86561,438,227,1207,0.2622428114,1.394392394,0.5182648402,2.755707763,65.38
CHICAGO,IL,1,0,0,1,1,1,0,0,1346723253,166564410,1513287663,COOK,20.46121788,5253655,1336070,111602,499322,2.124273482,9.50427845,0.08353005456,0.3737244306,43.24
EVANSTON,IL,1,0,0,1,1,0,0,0,20894000,166564410,187458410,COOK,20.46121788,5253655,1336070,111602,499322,2.124273482,9.50427845,0.08353005456,0.3737244306,43.24
MT PROSPECT,IL,0,0,0,1,1,0,0,0,3260000,166564410,169824410,COOK,20.46121788,5253655,1336070,111602,499322,2.124273482,9.50427845,0.08353005456,0.3737244306,43.24
NORRIDGE,IL,0,0,0,1,1,0,0,0,0,166564410,166564410,COOK,20.46121788,5253655,1336070,111602,499322,2.124273482,9.50427845,0.08353005456,0.3737244306,43.24
OAK PARK,IL,0,0,0,1,1,0,0,0,19032700,166564410,185597110,COOK,20.46121788,5253655,1336070,111602,499322,2.124273482,9.50427845,0.08353005456,0.3737244306,43.24
ELGIN,IL,0,0,0,1,1,0,0,0,9024000,0,9024000,KANE,2.52431345,278405,13435,1694,26118,0.6084660836,9.381297031,0.1260885746,1.944026796,68.84
HIGHLAND PARK,IL,0,0,0,1,1,0,0,0,0,35528720,35528720,LAKE,5.502105713,440372,27842,6020,21064,1.36702606,4.783228725,0.2162200991,0.7565548452,66.62
WAUKEGAN,IL,0,0,0,1,1,0,0,0,11719000,35528721,47247721,LAKE,5.502105713,440372,27842,6020,21064,1.36702606,4.783228725,0.2162200991,0.7565548452,66.62
SPRINGFIELD,IL,0,0,0,1,1,0,0,0,36603430,0,36603430,SANGAMON,11.6203928,176089,11321,972,1008,0.5519935941,0.5724378013,0.08585813974,0.08903807084,62.71
JOLIET,IL,0,0,0,1,1,0,0,0,16554147,10546000,27100147,WILL,4.358337402,324460,31227,2816,13778,0.8679035937,4.246440239,0.09017837128,0.4412207385,62.28
ROCKFORD,IL,0,0,0,1,1,0,0,0,32464285,162000,32626285,WINNEBAGO,3.136624813,250884,20830,1222,5399,0.4870776933,2.151990561,0.05866538646,0.259193471,60.12
FORT WAYNE,IN,0,0,0,0,0,0,0,0,41015173,0,41015173,ALLEN,7.526277065,294335,26133,1286,4743,0.4369171182,1.611429154,0.04920981135,0.1814946619,64.47
JEFFERSONVILLE,IN,0,0,0,0,0,0,0,0,408550,384300,792850,CLARK,8.093961716,88838,4296,301,435,0.3388189739,0.4896553277,0.07006517691,0.1012569832,52.31
ELKHART,IN,0,0,0,0,0,0,0,0,10132836,6500,10139336,ELKHART,0,137330,5730,491,1719,0.3575329498,1.251729411,0.08568935428,0.3,66.9
BATESVILLE,IN,0,0,0,0,0,0,0,0,NA,NA,NA,FRANKLIN,0,19612,2,19,108,0.09687946155,0.5506832551,9.5,54,61.62
CARMEL,IN,0,0,0,0,0,0,0,0,467800,0,467800,HAMILTON,0,82027,358,410,432,0.49983542,0.5266558572,1.145251397,1.206703911,78.84
FISHERS,IN,0,0,0,0,0,0,0,0,NA,NA,NA,HAMILTON,0,82027,358,410,432,0.49983542,0.5266558572,1.145251397,1.206703911,78.84
INDIANAPOLIS,IN,0,0,0,0,0,0,0,0,170145138,0,170145138,MARION,12.93905544,765233,154398,4260,6818,0.5566931902,0.8909704626,0.02759103097,0.04415860309,57.22
ROCKVILLE,IN,0,0,0,0,0,0,0,0,216025,0,216025,MONTGOMERY,0,35501,148,46,129,0.1295738148,0.3633700459,0.3108108108,0.8716216216,70.5
LAFAYETTE,IN,0,0,0,0,0,0,0,0,9276668,0,9276668,TIPPECANOE,5.227661133,121702,2026,1703,1385,1.39931965,1.138025669,0.8405725568,0.6836130306,65.34
WICHITA,KS,0,0,0,0,1,0,0,0,78503288,11844,78515132,SEDGWICK,11.90261555,366531,31502,4393,11256,1.198534367,3.070954435,0.1394514634,0.3573106469,57.75
LOUISVILLE,KY,0,0,0,0,0,0,0,0,159807065,47207658,207014723,JEFFERSON,22.92289162,685004,109076,2877,4341,0.4199975475,0.6337189272,0.02637610473,0.03979793905,50.28
LEXINGTON,KY,0,0,0,0,0,0,0,0,0,39654100,39654100,LEXINGTON,NA,NA,NA,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,NA
SHELBYVILLE,KY,0,0,0,0,0,0,0,0,908000,0,908000,SHELBY,1.152598262,23328,2597,9,135,0.03858024691,0.5787037037,0.003465537158,0.05198305737,43.59
BATON ROUGE,LA,0,0,0,0,0,0,0,0,69573994,0,69573994,EAST BATON ROUGE PARISH,30.98599434,366191,113746,2422,6306,0.6614034752,1.722052153,0.02129305646,0.05543931215,55.3
NEW ORLEANS,LA,1,0,0,0,0,0,0,0,272411130,0,272411130,ORLEANS PARISH,18.22001266,557515,304673,7332,19226,1.315121566,3.44851708,0.02406514525,0.06310372104,41.01
PINEVILLE,LA,0,0,0,0,0,0,0,0,NA,NA,NA,RAPIDES PARISH,37.63149643,135282,36031,554,1629,0.4095149392,1.204151328,0.01537564875,0.04521106825,56.82
LAWRENCE,MA,0,0,0,0,0,0,0,0,41395240,0,41395240,ESSEX,4.915796757,633632,5925,2377,16923,0.3751388819,2.670793142,0.4011814346,2.856202532,52.86
