Grantmaker Name,Grantmaker State,Recipient Name,Recipient City,Recipient State/Country,Year Authorized,Grant Amount,Support Strategies,Description,Fund_type,Type
C.K. & Kay Ho Foundation,CA,Asian American Christian Counseling Service,Alhambra,CA,2010,5000,,,Private,Service
Fidelity Charitable Gift Fund,OH,Asian American Christian Counseling Service,Alhambra,CA,2015,250,,,Private,Service
Long Family Foundation,CA,Asian American Christian Counseling Service,Alhambra,CA,2014,5000,Program development;,Religious grant,Private,Service
Long Family Foundation,CA,Asian American Christian Counseling Service,Alhambra,CA,2013,15000,Research;,Research,Private,Service
Long Family Foundation,CA,Asian American Christian Counseling Service,Alhambra,CA,2010,15000,,,Private,Service
Long Family Foundation,CA,Asian American Christian Counseling Service,Alhambra,CA,2008,10000,,,Private,Service
The California Endowment,CA,Asian American Christian Counseling Service,Alhambra,CA,2006,50000,General support;,For core operating support of Critical Counseling and Therapy Services in Los Angeles County,Community,Service
A.C. Ratshesky Foundation,MA,Asian American Civic Association,Boston,MA,2015,10000,Program development;,Program support,Private,Service
A.C. Ratshesky Foundation,MA,Asian American Civic Association,Boston,MA,2014,10000,Program development;,Program support,Private,Service
A.C. Ratshesky Foundation,MA,Asian American Civic Association,Boston,MA,2006,10000,,,Private,Service
AmazonSmile Foundation,WA,Asian American Civic Association,Boston,MA,2014,10,General support;,General support,Private,Service
Amelia Peabody Charitable Fund,MA,Asian American Civic Association,Boston,MA,2005,50000,Building and renovations;,For construction,Private,Service
Amelia Peabody Foundation,MA,Asian American Civic Association,Boston,MA,2007,80000,Program development;,For teen program,Private,Service
"Arbella Insurance Group Charitable Foundation, Inc.",MA,Asian American Civic Association,Boston,MA,2008,2000,,,Private,Service
Barr Foundation,MA,Asian American Civic Association,Boston,MA,2009,103500,General support;,For general support,Private,Service
"BNY Mellon Foundation, Inc.",PA,Asian American Civic Association,Boston,MA,2015,50000,General support;,General operating purposes,Private,Service
"Boston Foundation, Inc.",MA,Asian American Civic Association,Boston,MA,2015,10000,General support;,For general operating support or unrestricted support,Community,Service
"Boston Foundation, Inc.",MA,Asian American Civic Association,Boston,MA,2015,5000,General support;,For general operating support or unrestricted support,Community,Service
"Boston Foundation, Inc.",MA,Asian American Civic Association,Boston,MA,2014,75000,General support;,"For general operating support, including the expansion of the Workforce Development Center",Community,Service
"Boston Foundation, Inc.",MA,Asian American Civic Association,Boston,MA,2013,10000,General support; Continuing support;,For general operating support,Community,Service
"Boston Foundation, Inc.",MA,Asian American Civic Association,Boston,MA,2013,10000,General support;Continuing support;,For general operating support,Community,Service
"Boston Foundation, Inc.",MA,Asian American Civic Association,Boston,MA,2013,10000,Continuing support; General support;,For general operating support,Community,Service
"Boston Foundation, Inc.",MA,Asian American Civic Association,Boston,MA,2013,10000,Continuing support;General support;,For general operating support,Community,Service
"Boston Foundation, Inc.",MA,Asian American Civic Association,Boston,MA,2013,75000,General support;Continuing support;,For general operating support,Community,Service
"Boston Foundation, Inc.",MA,Asian American Civic Association,Boston,MA,2012,10000,General support; Continuing support;,For general operating support,Community,Service
"Boston Foundation, Inc.",MA,Asian American Civic Association,Boston,MA,2011,10000,Continuing support;General support;,For general operating support,Community,Service
"Boston Foundation, Inc.",MA,Asian American Civic Association,Boston,MA,2010,40000,General support;Continuing support;,For general operating support,Community,Service
"Boston Foundation, Inc.",MA,Asian American Civic Association,Boston,MA,2010,50000,General support;Continuing support;,For general operating support,Community,Service
"Boston Foundation, Inc.",MA,Asian American Civic Association,Boston,MA,2010,10000,General support;Continuing support;,For general operating support,Community,Service
"Boston Foundation, Inc.",MA,Asian American Civic Association,Boston,MA,2010,18580,General support;Continuing support;,For general operating support,Community,Service
"Boston Foundation, Inc.",MA,Asian American Civic Association,Boston,MA,2009,10000,Continuing support;General support;,For general operating support,Community,Service
"Boston Foundation, Inc.",MA,Asian American Civic Association,Boston,MA,2008,10000,General support;,For general operating support,Community,Service
"Boston Foundation, Inc.",MA,Asian American Civic Association,Boston,MA,2006,2500,General support;,For general operating support,Community,Service
"Boston Foundation, Inc.",MA,Asian American Civic Association,Boston,MA,2006,1500,,To provide Friend-level sponsorship of Lunar New Year Gala,Community,Service
"Boston Foundation, Inc.",MA,Asian American Civic Association,Boston,MA,2005,5000,,,Community,Service
"Boston Foundation, Inc.",MA,Asian American Civic Association,Boston,MA,2005,2500,,,Community,Service
Carl and Ruth Shapiro Family Foundation,MA,Asian American Civic Association,Boston,MA,2013,20000,Continuing support;,,Private,Service
Carl and Ruth Shapiro Family Foundation,MA,Asian American Civic Association,Boston,MA,2012,20000,,,Private,Service
Cathay Bank Foundation,CA,Asian American Civic Association,Boston,MA,2015,20000,Individual development;,The funds requested used to cover training scholarships ($6300) for three low-income students (6%of enrollees)in careers in Banking and Finance The $1100 remaining would beused for emergency travel assistance,Private,Service
Cathay Bank Foundation,CA,Asian American Civic Association,Boston,MA,2014,9500,Capital and infrastructure;,Secure Our Future' Capdal Campaign to purchase the existing facility and expand and develop AACA program capacrty to meet the changing needs of the target service population,Private,Service
Cathay Bank Foundation,CA,Asian American Civic Association,Boston,MA,2012,10000,,For The Careers in Banking and Finance Program- serve a diverse clientele that includes both immigrants and non-immigrants in the Metropolitan Boston area,Private,Service
Cathay Bank Foundation,CA,Asian American Civic Association,Boston,MA,2007,1500,,,Private,Service
Cathay Bank Foundation,CA,Asian American Civic Association,Boston,MA,2007,1000,,,Private,Service
Cathay Bank Foundation,CA,Asian American Civic Association,Boston,MA,2007,20000,,,Private,Service
Ciccolo Family Foundation Inc.,MA,Asian American Civic Association,Boston,MA,2015,500,,"General, educational and charitable purposes",Private,Service
Citizens Charitable Foundation,,Asian American Civic Association,Boston,MA,2014,25000,,General Charitable,Private,Service
Citizens Charitable Foundation,,Asian American Civic Association,Boston,MA,2014,13,,General Charitable,Private,Service
Citizens Charitable Foundation,,Asian American Civic Association,Boston,MA,2013,25000,General support;,For General Support,Private,Service
Citizens Charitable Foundation,,Asian American Civic Association,Boston,MA,2012,10000,General support;,For General Support,Private,Service
Citizens Charitable Foundation,,Asian American Civic Association,Boston,MA,2009,5000,General support;,For general obligations,Private,Service
Citizens Charitable Foundation,,Asian American Civic Association,Boston,MA,2008,3000,General support;,For general operating support,Private,Service
Citizens Charitable Foundation,,Asian American Civic Association,Boston,MA,2008,25000,General support;Continuing support;,For general operating support,Private,Service
Citizens Charitable Foundation,,Asian American Civic Association,Boston,MA,2008,30000,General support;Continuing support;,For general operating support,Private,Service
Citizens Charitable Foundation,,Asian American Civic Association,Boston,MA,2007,25000,Continuing support; General support;,For general operating support,Private,Service
Citizens Charitable Foundation,,Asian American Civic Association,Boston,MA,2006,5000,General support;,For general operating support,Private,Service
Citizens Charitable Foundation,,Asian American Civic Association,Boston,MA,2006,15000,Continuing support; General support;,For general operating support,Private,Service
Citizens Charitable Foundation,,Asian American Civic Association,Boston,MA,2006,10000,General support; Continuing support;,For general operating support,Private,Service
Citizens Charitable Foundation,,Asian American Civic Association,Boston,MA,2005,10000,General support;,For general support,Private,Service
"Clipper Ship Foundation, Inc.",MA,Asian American Civic Association,Boston,MA,2015,10000,,Adult ESOL Program,Private,Service
"Clipper Ship Foundation, Inc.",MA,Asian American Civic Association,Boston,MA,2014,10000,Program development;,Adult ESOL Program,Private,Service
"Clipper Ship Foundation, Inc.",MA,Asian American Civic Association,Boston,MA,2007,15000,,,Private,Service
David Joyce Charitable Trust,MA,Asian American Civic Association,Boston,MA,2014,3500,General support;,General fund,Private,Service
Deborah M. Noonan Memorial Fund,RI,Asian American Civic Association,Boston,MA,2015,20000,Program development;,Workforce Development Center,Private,Service
Deborah Munroe Noonan Memorial Fund,MA,Asian American Civic Association,Boston,MA,2015,20000,Program development;,Workforce Development Center,Private,Service
Deborah Munroe Noonan Memorial Fund,MA,Asian American Civic Association,Boston,MA,2014,20000,Program development;,For Workforce Development Center,Private,Service
Eastern Bank Charitable Foundation,MA,Asian American Civic Association,Boston,MA,2015,500,Program development;,Exempt purpose,Private,Service
Eastern Bank Charitable Foundation,MA,Asian American Civic Association,Boston,MA,2014,1000,Program development;,,Private,Service
Eastern Bank Charitable Foundation,MA,Asian American Civic Association,Boston,MA,2014,10000,Program development;,,Private,Service
Eastern Bank Charitable Foundation,MA,Asian American Civic Association,Boston,MA,2012,10000,Program development;,Exempt purpose,Private,Service
Eastern Bank Charitable Foundation,MA,Asian American Civic Association,Boston,MA,2012,500,Program development;,Exempt purpose,Private,Service
Eastern Bank Charitable Foundation,MA,Asian American Civic Association,Boston,MA,2012,500,Program development;,Exempt purpose,Private,Service
Eastern Bank Charitable Foundation,MA,Asian American Civic Association,Boston,MA,2007,25000,,,Private,Service
Fidelity Charitable Gift Fund,OH,Asian American Civic Association,Boston,MA,2015,500,,,Private,Service
Fidelity Charitable Gift Fund,OH,Asian American Civic Association,Boston,MA,2015,20000,,,Private,Service
Fidelity Charitable Gift Fund,OH,Asian American Civic Association,Boston,MA,2015,250,,,Private,Service
Fidelity Charitable Gift Fund,OH,Asian American Civic Association,Boston,MA,2015,1000,,,Private,Service
Fish Family Foundation,MA,Asian American Civic Association,Boston,MA,2008,2500,,,Private,Service
Harriet B. Bayley Trust,PA,Asian American Civic Association,Boston,MA,2014,25000,General support;,General operating purposes,Private,Service
Hartford Foundation for Public Giving,CT,Asian American Civic Association,Boston,MA,2015,30000,Program development;,,Private,Service
Hartford Foundation for Public Giving,CT,Asian American Civic Association,Boston,MA,2014,20000,Program development;,,Private,Service
Hartford Foundation for Public Giving,CT,Asian American Civic Association,Boston,MA,2013,20000,Continuing support;,,Private,Service
Hartford Foundation for Public Giving,CT,Asian American Civic Association,Boston,MA,2012,40000,,,Private,Service
Hartford Foundation for Public Giving,CT,Asian American Civic Association,Boston,MA,2012,30000,,,Private,Service
Hartford Foundation for Public Giving,CT,Asian American Civic Association,Boston,MA,2010,30000,Continuing support;,,Private,Service
Hartford Foundation for Public Giving,CT,Asian American Civic Association,Boston,MA,2009,25000,Continuing support;,,Private,Service
Hartford Foundation for Public Giving,CT,Asian American Civic Association,Boston,MA,2008,16755,Continuing support;,,Private,Service
Hartford Foundation for Public Giving,CT,Asian American Civic Association,Boston,MA,2007,16288,,,Private,Service
Hartford Foundation for Public Giving,CT,Asian American Civic Association,Boston,MA,2006,34560,General support;,For general support,Private,Service
Harvard Pilgrim Health Care Foundation,MA,Asian American Civic Association,Boston,MA,2015,5000,Financial sustainability;,Grant to support for AACA's annual gala on 6/24/15,Private,Service
Jane's Trust,MA,Asian American Civic Association,Boston,MA,2007,100000,Program development;,For expansion of educational programs for immigrants,Private,Service
Joseph H. & Florence A. Roblee Foundation,MO,Asian American Civic Association,Boston,MA,2005,15000,,,Private,Service
Kinder Morgan Foundation,CO,Asian American Civic Association,Boston,MA,2015,1000,,Youth Players theatre program,Private,Service
Magna Carta Foundation Inc.,NY,Asian American Civic Association,Boston,MA,2015,2500,Program development;,Charitable grant,Private,Service
Magna Carta Foundation Inc.,NY,Asian American Civic Association,Boston,MA,2013,2500,Program development;,Charitable grant,Private,Service
"OneWorld Boston, Inc.",MA,Asian American Civic Association,Boston,MA,2015,33334,Program development;,Education - other,Private,Service
"OneWorld Boston, Inc.",MA,Asian American Civic Association,Boston,MA,2014,33333,Program development;,Education - other,Private,Service
Paul and Edith Babson Foundation,MA,Asian American Civic Association,Boston,MA,2015,4000,Program development;,Youth employment center,Private,Service
People's United Community Foundation of Eastern Massachusetts Inc.,,Asian American Civic Association,Boston,MA,2015,10000,Capital campaigns;,Secure Our Future' Capital Campaign,Community,Service
People's United Community Foundation of Eastern Massachusetts Inc.,,Asian American Civic Association,Boston,MA,2012,5000,,For youth employment center,Community,Service
Richard and Susan Smith Family Foundation,MA,Asian American Civic Association,Boston,MA,2015,201918,,General Welfare,Private,Service
Richard and Susan Smith Family Foundation,MA,Asian American Civic Association,Boston,MA,2013,201810,Program development;Continuing support;,,Private,Service
Richard and Susan Smith Family Foundation,MA,Asian American Civic Association,Boston,MA,2012,196923,Continuing support;,,Private,Service
Richard and Susan Smith Family Foundation,MA,Asian American Civic Association,Boston,MA,2011,194092,Program development;,For poverty programs,Private,Service
"Staples Foundation, Inc.",MA,Asian American Civic Association,Boston,MA,2015,1000,Program development;,,Private,Service
"State Street Foundation, Inc.",MA,Asian American Civic Association,Boston,MA,2015,100000,Program development;,"Grant to provide general operating support of the Adult Education &amp; Workforce Development Center, A training progrm for adult immigrants who are imeniployed or underemployed and in need of muproving their skills for emplyment of higher education",Private,Service
"State Street Foundation, Inc.",MA,Asian American Civic Association,Boston,MA,2014,100000,General support;,Workforce Development Center Operating Support,Private,Service
"State Street Foundation, Inc.",MA,Asian American Civic Association,Boston,MA,2013,250000,Continuing support; General support; Capital and infrastructure;,For Workforce Development Center Operating Support and Capital Support,Private,Service
"State Street Foundation, Inc.",MA,Asian American Civic Association,Boston,MA,2012,100000,Continuing support; General support; Program development;,To provide general operating support of the Adult Education and Workforce Development Center,Private,Service
"State Street Foundation, Inc.",MA,Asian American Civic Association,Boston,MA,2012,25000,Program development;,To support the English and vocational training programs and employment services of the Workforce Development Center,Private,Service
"State Street Foundation, Inc.",MA,Asian American Civic Association,Boston,MA,2011,100000,General support;Program development;,For operating support for Adult Education and Workforce Development Center,Private,Service
"State Street Foundation, Inc.",MA,Asian American Civic Association,Boston,MA,2011,1000,Program development;,For grant in recognition of the Chinese Professional Network being the recipient of the Global Outreach Excellence Award,Private,Service
"State Street Foundation, Inc.",MA,Asian American Civic Association,Boston,MA,2010,100000,Program development;,To support its Workforce Development Center,Private,Service
"State Street Foundation, Inc.",MA,Asian American Civic Association,Boston,MA,2008,200000,Continuing support;Program development;,For the Workforce Development Center in new Chinatown Community Education Center,Private,Service
"State Street Foundation, Inc.",MA,Asian American Civic Association,Boston,MA,2007,200000,Program development;,For Workforce Development Center in new Chinatown Community Education Center,Private,Service
"The Bank of America Charitable Foundation, Inc.",NC,Asian American Civic Association,Boston,MA,2015,35000,Program development; General support;,Program/operating support,Private,Service
"The Bank of America Charitable Foundation, Inc.",NC,Asian American Civic Association,Boston,MA,2014,50000,Program development;General support;,Program/operating support,Private,Service
"The Bank of America Charitable Foundation, Inc.",NC,Asian American Civic Association,Boston,MA,2012,20000,Program development; General support;,For program and operating support,Private,Service
The George and Alice Rich Charitable Foundation,MA,Asian American Civic Association,Boston,MA,2015,2500,Program development;,Donation to support the charity's mission,Private,Service
"The Harry and Jeanette Weinberg Foundation, Inc.",MD,Asian American Civic Association,Boston,MA,2008,100000,Capital and infrastructure;,For facility,Private,Service
"The Hearst Foundation, Inc.",NY,Asian American Civic Association,Boston,MA,2012,50000,Program development;,Toward the Workforce Development Center,Private,Service
"The Hyams Foundation, Inc.",MA,Asian American Civic Association,Boston,MA,2004,30000,,,Private,Service
The JPMorgan Chase Foundation,NY,Asian American Civic Association,Boston,MA,2006,10000,,,Private,Service
"The Liberty Mutual Foundation, Inc.",MA,Asian American Civic Association,Boston,MA,2014,551,,Matching contribution,Private,Service
"The Liberty Mutual Foundation, Inc.",MA,Asian American Civic Association,Boston,MA,2014,25000,Capital and infrastructure;,Capital Funding,Private,Service
"The Liberty Mutual Foundation, Inc.",MA,Asian American Civic Association,Boston,MA,2009,20000,General support;,For general support,Private,Service
"The New England Patriots Charitable Foundation, Inc.",MA,Asian American Civic Association,Boston,MA,2014,2500,Program development;,Advocate for the needs of immigrants,Private,Service
The Susan F. Schiro and Peter J. Manus Foundation,MA,Asian American Civic Association,Boston,MA,2015,30000,Program development;,To further recipient's tax-exempt purpose,Private,Service
The Susan F. Schiro and Peter J. Manus Foundation,MA,Asian American Civic Association,Boston,MA,2014,30000,Program development;,To further recipient's tax-exempt purpose,Private,Service
The Susan F. Schiro and Peter J. Manus Foundation,MA,Asian American Civic Association,Boston,MA,2013,30000,Program development;,To further recipient's tax-exempt purpose,Private,Service
The Susan F. Schiro and Peter J. Manus Foundation,MA,Asian American Civic Association,Boston,MA,2008,10000,,,Private,Service
The Susan F. Schiro and Peter J. Manus Foundation,MA,Asian American Civic Association,Boston,MA,2009,10000,,,Private,Service
Verizon Foundation,NJ,Asian American Civic Association,Boston,MA,2010,10000,,,Private,Service
Wellesley Bank Charitable Foundation Inc.,MA,Asian American Civic Association,Boston,MA,2014,500,Program development;,Charitable Cause,Private,Service
AT&T Foundation,TX,Asian American Community Services,Columbus,OH,2006,11161,Program development;,"To implement computer technology classes to teach underserved Asian-American community in Franklin County, OH educational and economic tools to become self-sufficient through computer literacy programs",Private,Service
"Greater Columbus Arts Council, Inc.",OH,Asian American Community Services,Columbus,OH,2004,7000,,,Private,Service
"Greater Columbus Arts Council, Inc.",OH,Asian American Community Services,Columbus,OH,2003,6325,,,Private,Service
KeyBank Foundation,OH,Asian American Community Services,Columbus,OH,2005,2500,Program development;,For program support,Private,Service
The Cleveland Foundation,OH,Asian American Community Services,Columbus,OH,2006,11161,Program development;,"For implementation of computer technology classes to teach underserved Asian-American community in Franklin County, OH, economic tools to become self-sufficient",Private,Service
The Columbus Foundation and Affiliated Organizations,OH,Asian American Community Services,Columbus,OH,2003,25000,Program development;Research;,To expand and continue activities of Healthy Asian Youth project,Private,Service
The Columbus Foundation and Affiliated Organizations,OH,Asian American Community Services,Columbus,OH,2003,3000,,,Private,Service
The Columbus Foundation and Affiliated Organizations,OH,Asian American Community Services,Columbus,OH,2003,20000,Equipment;General support;,"For program-related salaries, contract services, speakers, and supplies for Cambodian Health Initiative",Private,Service
The Columbus Foundation and Affiliated Organizations,OH,Asian American Community Services,Columbus,OH,2003,30000,Program development;,To implement Asian-American Parenting Education project,Private,Service
United States Department of Justice,DC,Asian American Community Services,Upper Arlington,OH,2015,295000,Program development;,Direct services for AAPI Sex Trafficking victims in Central Ohio,Gov,Service
"Jean and Louis Dreyfus Foundation, Inc.",NY,Asian American Consulting Service,Ridgewood,NY,2006,10000,Program development;,For general support of New Land Community Center,Private,Service
The New York Community Trust,NY,Asian American Consulting Service,Ridgewood,NY,2003,50000,Program development;,For emergency assistance and job placement program for refugee families,Community,Service
The New York Community Trust,NY,Asian American Consulting Service,Ridgewood,NY,2003,5000,,,Community,Service
Verizon Foundation,NJ,Asian American Consulting Service,Ridgewood,NY,2005,7000,,,Private,Service
Silicon Valley Community Foundation,CA,Asian American Curriculum Project,San Mateo,CA,2008,5000,,,Community,Advocacy
AmazonSmile Foundation,WA,Asian American Donor Program,Alameda,CA,2014,33,General support;,General support,Private,Service
G and G Educational Foundation,CT,Asian American Donor Program,Alameda,CA,2012,1000,Research;,To increase Asian Stem Cell Donors,Private,Service
S P Care Family Foundation,CA,Asian American Donor Program,Alameda,CA,2015,1000,,Dedicated to increasing the availability of potential stem cells donors for patients with life threatening diseases curable by a stem cell transplant.,Private,Service
Salesforce  Foundation,CA,Asian American Donor Program,Alameda,CA,2016,250,Research and evaluation;,Healthcare &amp; Research,Private,Service
Silicon Valley Community Foundation,CA,Asian American Donor Program,Alameda,CA,2016,7000,Program development;,,Community,Service
Silicon Valley Community Foundation,CA,Asian American Donor Program,Alameda,CA,2015,1000,Program development;,,Community,Service
Silicon Valley Community Foundation,CA,Asian American Donor Program,Alameda,CA,2015,5000,Program development;,,Community,Service
Silicon Valley Community Foundation,CA,Asian American Donor Program,Alameda,CA,2015,7000,Program development;,,Community,Service
Silicon Valley Community Foundation,CA,Asian American Donor Program,Alameda,CA,2013,250,,,Community,Service
Silicon Valley Community Foundation,CA,Asian American Donor Program,Alameda,CA,2013,5000,,,Community,Service
Silicon Valley Community Foundation,CA,Asian American Donor Program,Alameda,CA,2012,5000,,,Community,Service
Silicon Valley Community Foundation,CA,Asian American Donor Program,Alameda,CA,2011,5000,Annual campaigns;,For annual fundraising,Community,Service
Silicon Valley Community Foundation,CA,Asian American Donor Program,Alameda,CA,2010,3000,Fundraising;,For annual fundraising,Community,Service
Silicon Valley Community Foundation,CA,Asian American Donor Program,Alameda,CA,2010,3000,Fundraising;,For annual fundraising,Community,Service
Silicon Valley Community Foundation,CA,Asian American Donor Program,Alameda,CA,2010,1400,General support;,For general support,Community,Service
Silicon Valley Community Foundation,CA,Asian American Donor Program,Alameda,CA,2010,5000,General support;,For general support,Community,Service
Silicon Valley Community Foundation,CA,Asian American Donor Program,Alameda,CA,2009,5000,Annual campaigns;,For annual fundraising,Community,Service
Silicon Valley Community Foundation,CA,Asian American Donor Program,Alameda,CA,2007,1500,,For AADP's 18th Annual Fundraiser on 11/17/07,Community,Service
Silicon Valley Community Foundation,CA,Asian American Donor Program,Alameda,CA,2007,5000,Fundraising;,For annual fundraising,Community,Service
The Allstate Foundation,IL,Asian American Donor Program,Alameda,CA,2012,1000,Program development;,For Agency Owner Volunteerism,Private,Service
The Allstate Foundation,IL,Asian American Donor Program,Alameda,CA,2010,1000,,For Agency Owner Volunteerism,Private,Service
"The Bank of America Charitable Foundation, Inc.",NC,Asian American Donor Program,Alameda,CA,2007,4000,,,Private,Service
"The Bank of America Charitable Foundation, Inc.",NC,Asian American Donor Program,Alameda,CA,2005,5000,General support;,For general support,Private,Service
The East Bay Community Foundation,CA,Asian American Donor Program,Alameda,CA,2013,1200,General support;,For general support,Community,Service
The East Bay Community Foundation,CA,Asian American Donor Program,Alameda,CA,2010,1000,General support;,For general support,Community,Service
The George & Wilma Leonard Charitable Foundation,CA,Asian American Donor Program,Alameda,CA,2013,1000,Program development;,Eleemosynary,Private,Service
The George & Wilma Leonard Charitable Foundation,CA,Asian American Donor Program,Alameda,CA,2012,3000,,,Private,Service
The George & Wilma Leonard Charitable Foundation,CA,Asian American Donor Program,Alameda,CA,2011,2000,,,Private,Service
Wells Fargo Foundation,MN,Asian American Donor Program,Alameda,CA,2005,2500,,,Private,Service
Yih Family Foundation,CA,Asian American Donor Program,Alameda,CA,2013,60,,Financial Support,Private,Service
Comerica Charitable Foundation,MI,Asian American Drug Abuse Program,Los Angeles,CA,2010,5000,General support;,For general fund,Private,Service
Comerica Charitable Foundation,MI,Asian American Drug Abuse Program,Los Angeles,CA,2009,5000,,,Private,Service
Kaiser Permanente for the Southern California Region,CA,Asian American Drug Abuse Program,Los Angeles,CA,2015,10000,Program development;,AADAP aims to improve HIV prevention behaviors among African Americans and Latinos between the ages of 18 to 61 in the West Los Angeles territory through education and treatment services.,Private,Service
Kaiser Permanente for the Southern California Region,CA,Asian American Drug Abuse Program,Los Angeles,CA,2014,5000,Program development;Outreach;,"AADAP 's propose to expands the agency's existing HIV/AIDS Street Outreach program to focus on persons at high-risk, to create a coordinated system of outreach and identification of care.",Private,Service
MUFG Union Bank Foundation,CA,Asian American Drug Abuse Program,Los Angeles,CA,2007,2500,,,Private,Service
"The Bank of America Charitable Foundation, Inc.",NC,Asian American Drug Abuse Program,Los Angeles,CA,2015,250,General support;,Program/operating support,Private,Service
"The Bank of America Charitable Foundation, Inc.",NC,Asian American Drug Abuse Program,Los Angeles,CA,2014,250,General support;,Program/operating support,Private,Service
The Durfee Foundation,CA,Asian American Drug Abuse Program,Los Angeles,CA,2014,250,,Matching Gift,Private,Service
Upside Down Foundation,CA,Asian American Drug Abuse Program,Los Angeles,CA,2014,1000,Program development;,Drug rehabilitation,Private,Service
Weingart Foundation,CA,Asian American Drug Abuse Program,Los Angeles,CA,2004,75000,Program development;,To expand outreach/education prevention service programs,Private,Service
Wells Fargo Foundation,MN,Asian American Drug Abuse Program,Los Angeles,CA,2013,10000,,,Private,Service
Wells Fargo Foundation,MN,Asian American Drug Abuse Program,Los Angeles,CA,2009,5000,,,Private,Service
Wells Fargo Foundation,MN,Asian American Drug Abuse Program,Los Angeles,CA,2005,5000,,,Private,Service
The PG&E Corporation Foundation,CA,Asian American Education Institute,Los Angeles,CA,2012,15000,Program development;,For Asian American Education Institute Civic Participation and Leadership Development,Private,Advocacy
The PG&E Corporation Foundation,CA,Asian American Education Institute,Los Angeles,CA,2010,7500,Program development;,For Non-Partisan Statewide Asian Pacific American Voter Outreach and Engagement,Private,Advocacy
The PG&E Corporation Foundation,CA,Asian American Education Institute,Los Angeles,CA,2010,5000,Program development;,For Non-Partisan Statewide Asian Pacific American Voter Outreach and Engagement,Private,Advocacy
Wells Fargo Foundation,MN,Asian American Education Institute,Los Angeles,CA,2015,10000,,"Support of community development education, and human services",Private,Advocacy
Albert & Ethel Herzstein Charitable Foundation,TX,Asian American Family Services,Houston,TX,2012,2500,General support;,Towards general operating support.,Private,Service
ExxonMobil Foundation,TX,Asian American Family Services,Houston,TX,2014,2750,Program development;,,Private,Service
ExxonMobil Foundation,TX,Asian American Family Services,Houston,TX,2013,2750,Program development;,For Community Summer Jobs Program Houston,Private,Service
ExxonMobil Foundation,TX,Asian American Family Services,Houston,TX,2012,2750,Program development;,For Community Summer Jobs Program 2012 Houston,Private,Service
ExxonMobil Foundation,TX,Asian American Family Services,Houston,TX,2011,2750,Program development;,For Community Summer Jobs Program (CSJP) Houston,Private,Service
ExxonMobil Foundation,TX,Asian American Family Services,Houston,TX,2009,2750,Program development;,For Community Summer Jobs Program (CSJP) Houston,Private,Service
ExxonMobil Foundation,TX,Asian American Family Services,Houston,TX,2007,2000,Program development;,"For Community Summer Jobs Program, Houston",Private,Service
ExxonMobil Foundation,TX,Asian American Family Services,Houston,TX,2005,2000,,,Private,Service
Fidelity Charitable Gift Fund,OH,Asian American Family Services,Houston,TX,2015,1000,Program development;,,Private,Service
Greater Houston Community Foundation,TX,Asian American Family Services,Houston,TX,2013,5300,,For part of the Asian American Giving Circle Giving Cycle,Community,Service
Greater Houston Community Foundation,TX,Asian American Family Services,Houston,TX,2011,1000,General support;,For general support,Community,Service
Shell Oil Company Foundation,TX,Asian American Family Services,Houston,TX,2014,400,Program development;,Community Development,Private,Service
