Foundation,Program_name,Org_name,Years,Grant_amount,Groups,Start_year,End_year,Duration_year,Type
Ford ,Rights and Social Justice Program,Mexican American Legal Defense and Educational Fund,1992 April 01-1992 September 30,"20,000",Latino ,1992,1992,1,Mixed
Ford ,Rights and Social Justice Program,Mexican American Legal Defense and Educational Fund,1992 December 01-1995 November 30,"160,000",Latino ,1992,1995,1,Mixed
Ford ,Rights and Social Justice Program,Mexican American Legal Defense and Educational Fund,1994 April 01-1996 March 31,"100,000",Latino ,1994,1996,1,Mixed
Ford ,Rights and Social Justice Program,Mexican American Legal Defense and Educational Fund,1995 April 01-1997 March 31,"110,000",Latino ,1995,1997,1,Mixed
Ford ,Human Rights; KC and F - Office of the Vice President ,Mexican American Legal Defense and Educational Fund,1997 March 01-2002 August 31,"3,700,000",Latino ,1997,2002,1,Mixed
Ford ,Community and Resource Development ,Mexican American Legal Defense and Educational Fund,1997 September 01-2000 August 31,"300,000",Latino ,1997,2000,1,Mixed
Ford ,"Human Rights; Education, Sexuality, Religion; KC and F - Office of the Vice President ",Mexican American Legal Defense and Educational Fund,1998 April 01-2005 April 30,"8,180,000",Latino ,1998,2005,1,Mixed
Ford ,"Education, sexuality, religion",Mexican American Legal Defense and Educational Fund,1998 April 01-1999 November 30 ,"200,000",Latino ,1998,1999,2,Mixed
Ford ,Governance and Civil Society ,Mexican American Legal Defense and Educational Fund,1998 May 01-2001 May 31,"300,000",Latino ,1998,2001,1,Mixed
Ford ,"Education, sexuality, religion",Mexican American Legal Defense and Educational Fund,2000 May 01-2001 April 30,"135,000",Latino ,2000,2001,0,Mixed
Ford ,Human rights ,Mexican American Legal Defense and Educational Fund,2002 May 01-2004 April 30,"200,000",Latino ,2002,2004,1,Mixed
Ford ,Human rights ,Mexican American Legal Defense and Educational Fund,2002 November 01-2003 October 31,"300,000",Latino ,2002,2003,0,Mixed
Ford ,Urban Poverty Program,Mexican American Legal Defense and Educational Fund,1981 October 01-1985 September 30,"141,200",Latino ,1981,1985,3,Mixed
Ford ,Urban Poverty Program,Mexican American Legal Defense and Educational Fund,1972 December 01-1997 December 31,"17,339,000",Latino ,1972,1997,1,Mixed
Ford ,Rights and Social Justice Program,Mexican American Women's National Association,1988 September 01-1990 May 01,"35,000",Latino ,1988,1990,30,Advocacy
Ford ,Rights and Social Justice Program,Mexican American Women's National Association,1991 January 01-1992 June 30,"50,000",Latino ,1991,1992,1,Advocacy
Ford ,Rights and Social Justice Program,La Casa De Don Pedro ,1986 August 01-1998 May 31,"1,000,500",Latino ,1986,1998,0,Service
Ford ,National Affairs,La Casa De Don Pedro ,1979 May 01-1980 October 31,"25,000",Latino ,1979,1980,3,Service
Ford,Rights and Social Justice Program,National Hispanic Leadership Institute ,1994 September 01-1995 August 31,"75,000",Latino ,1994,1995,1,Advocacy
Ford,Rights and Social Justice Program,National Hispanic Leadership Agenda ,1991 October 01-1992 September 30,"50,000",Latino ,1991,1992,0,Advocacy
Ford,Rights and Social Justice Program,National Hispanic Leadership Agenda ,1993 July 01-1992 May 31,"75,000",Latino ,1993,1992,13,Advocacy
Ford,Rights and Social Justice Program; Governance and Public Policy Program,Hispanic Community Fund of the Bay Area,1991 February 01-1997 June 30,"460,000",Latino ,1991,1997,2,Advocacy
Ford,Rights and Social Justice Program,Hispanic Health Council ,1989 February 01-1991 January 31 ,"50,000",Latino ,1989,1991,2,Service
Ford ,Rights and Social Justice Program; Education and Culture Program ,Hispanic Office of Planning and Evaluation,1984 May 15-1985 January 15,"7,552",Latino ,1984,1985,0,Service
Ford ,Urban Poverty Program ,Hispanic Policy Development Project ,1985 September 01-1986 August 29,"125,700",Latino ,1985,1986,3,Advocacy
Ford ,Rights and Social Justice Program,Hispanic Policy Development Project ,1986 October 01-1994 June 30,"1,150,000",Latino ,1986,1994,6,Advocacy
Ford,Rights and Social Justice Program; Governance and Public Policy Program,Hispanics in Philanthropy ,1989 March 01-1994 December 31,"120,000",Latino ,1989,1994,2,Mixed
Ford,Governance and Public Policy Program,Hispanics in Philanthropy ,1993 January 01-1994 December 31,"20,000",Latino ,1993,1994,0,Mixed
Ford,Governance and Public Policy Program,Hispanics in Philanthropy ,1995 January 01-1995 December 31,"50,000",Latino ,1995,1995,3,Mixed
Ford,Governance and Public Policy Program,Hispanics in Philanthropy ,1997 April 01-2001 June 30,"190,000",Latino ,1997,2001,2,Mixed
Ford,Governance and Civil Society ,Hispanics in Philanthropy ,1998 September 01-2004 September 30,"1,850,000",Latino ,1998,2004,2,Mixed
Ford,Human Rights; Governance and Civil Society,Hispanics in Philanthropy ,1998 October 01-1999 September 30,"50,000",Latino ,1998,1999,5,Mixed
Ford,Reproductive Health and Population Program,Latino Commission on Aids ,1993 May 01-1994 June 30,"60,000",Latino ,1993,1994,3,Mixed
Ford,Human Development and Reproductive Health,Latino Commission on Aids ,1997 June 01-1998 August 31,"111,000",Latino ,1997,1998,7,Mixed
Ford,Human Development and Reproductive Health ,Latina Roundtable on Health and Reproductive Rights ,1997 September 01-1998 February 28,"60,000",Latino ,1997,1998,1,Advocacy
Ford,"Education, sexuality, religion; Media Arts and Culture ",Latino Educational Media Center ,2002 November 01-2004 April 30,"250,000",Latino ,2002,2004,3,Advocacy
Ford,Urban Poverty Program,Latino Institute,1981 January 01-1981 December 31,"15,000",Latino ,1981,1981,1,Service
Ford,Urban Poverty Program,Latino Institute,1981 July 01-1981 October 31,"20,000",Latino ,1981,1981,2,Service
Ford,Urban Poverty Program,Latino Institute,1982 January 01-1984 June 30,"250,000",Latino ,1982,1984,1,Service
Ford,Rights and Social Justice Program,Latino Institute,1987 January 01-1996 December 31,"775,000",Latino ,1987,1996,4,Service
Ford,Rights and Social Justice Program,Latino Institute,1994 February 01-1997 January 30,"300,000",Latino ,1994,1997,25,Service
Ford,Human Rights,Latino Institute,1997 January 01-1997 December 31,"300,000",Latino ,1997,1997,2,Service
Ford,Education and Culture Program,Latino Issue Forum,1993 April 01-1993 November 30,"25,000",Latino ,1993,1993,1,Advocacy
Ford,Urban Poverty Program,Latino Projects ,1981 January 01-1981 June 30,"2,376",Latino ,1981,1981,12,Advocacy
Ford,Urban Poverty Program,Latino Projects ,1981 June 15-1981 December 14,"20,000",Latino ,1981,1981,1,Advocacy
