Grantmaker Name,Grantmaker State,Recipient Name,Recipient City,Recipient State/Country,Year Authorized,Grant Amount,Support Strategies,Description,Fund_type,Type
Pottstown Area Health & Wellness Foundation,PA,Accion Comunal Latino Americano de Montgomery County,Norristown,PA,2009,40000,Equal access; Program development;,For Conexiones por Salud - Health Disparities Reduction Program,Private,Service
Pottstown Area Health & Wellness Foundation,PA,Accion Comunal Latino Americano de Montgomery County,Norristown,PA,2009,50000,Program development;,For Conexiones por Salud Community Health Projects,Private,Service
Pottstown Area Health & Wellness Foundation,PA,Accion Comunal Latino Americano de Montgomery County,Norristown,PA,2007,50000,Program development;,For Conexiones para Salud family development programs,Private,Service
Pottstown Area Health & Wellness Foundation,PA,Accion Comunal Latino Americano de Montgomery County,Norristown,PA,2006,25000,Program development;,For Nuevas Conexiones Por Salud outreach and education programs,Private,Service
Pottstown Area Health & Wellness Foundation,PA,Accion Comunal Latino Americano de Montgomery County,Norristown,PA,2005,50000,Program development;,For Familias Adelante/ACLAMO Family Development Project,Private,Service
TD Charitable Foundation,ME,Accion Comunal Latino Americano de Montgomery County,Norristown,PA,2016,5000,,"The program is designed to: 1) boost basic academic skills and achievement in English, reading, math and science; 2) expand awareness of STEM-related careers and education pathways; and 3) build 21ST century workforce skills",Private,Service
TD Charitable Foundation,ME,Accion Comunal Latino Americano de Montgomery County,Norristown,PA,2015,5000,Program development;,"For STEM Skills and Career Exploration. ACLAMO's STEM Skills and Career Exploration program annually serves 100 low-income Latino students in Norristown public schools, grades K-8",Private,Service
TD Charitable Foundation,ME,Accion Comunal Latino Americano de Montgomery County,Norristown,PA,2013,6000,Program development;,For ACLAMO S T E M After-School Program,Private,Service
TD Charitable Foundation,ME,Accion Comunal Latino Americano de Montgomery County,Norristown,PA,2010,2500,,For Even Start 'ESL Family Literacy Program,Private,Service
TD Charitable Foundation,ME,Accion Comunal Latino Americano de Montgomery County,Norristown,PA,2008,2000,,For Going Green - Eco Imagination and Exploration Summer 1..earning Camp,Private,Service
The Arcadia Foundation,PA,Accion Comunal Latino Americano de Montgomery County,Norristown,PA,2016,50000,General support;,Unrestricted,Private,Service
The Arcadia Foundation,PA,Accion Comunal Latino Americano de Montgomery County,Norristown,PA,2015,20000,General support;,Unrestricted,Private,Service
The Arcadia Foundation,PA,Accion Comunal Latino Americano de Montgomery County,Norristown,PA,2013,75000,General support;,Unrestricted,Private,Service
The Arcadia Foundation,PA,Accion Comunal Latino Americano de Montgomery County,Norristown,PA,2005,25000,,,Private,Service
The Comcast Foundation,PA,Accion Comunal Latino Americano de Montgomery County,Norristown,PA,2013,14750,Program development;,For Digital Connections Education Program,Private,Service
The Comcast Foundation,PA,Accion Comunal Latino Americano de Montgomery County,Norristown,PA,2013,3500,Program development;,For Comcast Cares Day 2013,Private,Service
The Comcast Foundation,PA,Accion Comunal Latino Americano de Montgomery County,Norristown,PA,2011,1869,Program development;,For Comcast Cares Day 2011,Private,Service
The Comcast Foundation,PA,Accion Comunal Latino Americano de Montgomery County,Norristown,PA,2011,20000,Program development;,For Digital literacy program for adult learners,Private,Service
The Dow Chemical Company Foundation,MI,Accion Comunal Latino Americano de Montgomery County,Norristown,PA,2014,15000,Individual development;,"Chemical research, academic scholarship or community involvement",Private,Service
The Philadelphia Fund,PA,Accion Comunal Latino Americano de Montgomery County,Norristown,PA,2014,6367,General support;,For General Purposes,Community,Service
The Philadelphia Fund,PA,Accion Comunal Latino Americano de Montgomery County,Norristown,PA,2011,40000,Fundraising;,For operating expenses to build donor base,Community,Service
The Philadelphia Fund,PA,Accion Comunal Latino Americano de Montgomery County,Norristown,PA,2006,15000,Continuing support; General support;,For general operating support,Community,Service
The Philadelphia Fund,PA,Accion Comunal Latino Americano de Montgomery County,Norristown,PA,2005,15000,Continuing support;General support;,For general operating support,Community,Service
The Philadelphia Fund,PA,Accion Comunal Latino Americano de Montgomery County,Norristown,PA,2004,15000,General support;,For general operating support,Community,Service
The PNC Foundation,PA,Accion Comunal Latino Americano de Montgomery County,Norristown,PA,2012,10000,Program development;,For family educational programs for 30 LMI households. The programs will cover the following: Early Childhood Education serving English language learner children ages 3-5 years old; Adult Education including ESL,Private,Service
The PNC Foundation,PA,Accion Comunal Latino Americano de Montgomery County,Norristown,PA,2003,10000,,,Private,Service
Ford Foundation,NY,Accion Latina,San Francisco,CA,2008,25000,Recordings;,To produce demonstration reel for development of proposed television documentary to chronicle 200-year history of Latino press,Private,Advocacy
"The Freedom Forum, Inc.",DC,Accion Latina,San Francisco,CA,2007,5000,,,Private,Advocacy
The PG&E Corporation Foundation,CA,Accion Latina,San Francisco,CA,2009,2000,General support;,For General Operations,Private,Advocacy
The San Francisco Foundation,CA,Accion Latina,San Francisco,CA,2010,9250,,For core operations,Community,Advocacy
The San Francisco Foundation,CA,Accion Latina,San Francisco,CA,2009,15000,Publications; Research;,"For research and development of Bang, youth violence intervention graphic novel designed for Oakland, Richmond, and Southeastern San Francisco middle school students",Community,Advocacy
The San Francisco Foundation,CA,Accion Latina,San Francisco,CA,2008,10000,Program development; Recordings;,"For documentary film and related projects commemorating bi-centennial of Latino Press in US, including San Francisco newspapers",Community,Advocacy
The San Francisco Foundation,CA,Accion Latina,San Francisco,CA,2008,7500,,To increase program offerings promoting and celebrating Latino cultural arts and traditions,Community,Advocacy
The Zellerbach Family Foundation,CA,Accion Latina,San Francisco,CA,2014,3500,Program development;,For the 33rd Annual Encuentro del Canto Popular,Private,Advocacy
The Zellerbach Family Foundation,CA,Accion Latina,San Francisco,CA,2013,3500,Program development;,For 32nd Encuentro del Canto Popular Festival,Private,Advocacy
"The Community Foundation of Louisville, Inc.",KY,Adelante Hispanic Achievers,Louisville,KY,2008,2000,,,Community,Service
"The Gheens Foundation, Inc.",KY,Adelante Hispanic Achievers,Louisville,KY,2014,15000,Program development;,,Private,Service
"The Gheens Foundation, Inc.",KY,Adelante Hispanic Achievers,Louisville,KY,2009,10000,Continuing support;,,Private,Service
"The Gheens Foundation, Inc.",KY,Adelante Hispanic Achievers,Louisville,KY,2008,10000,Continuing support;,,Private,Service
"The Gheens Foundation, Inc.",KY,Adelante Hispanic Achievers,Louisville,KY,2008,10000,Continuing support;,,Private,Service
"The Gheens Foundation, Inc.",KY,Adelante Hispanic Achievers,Louisville,KY,2007,10000,,,Private,Service
"The TJX Foundation, Inc.",MA,Adelante Hispanic Achievers,Louisville,KY,2016,10000,,Donations,Private,Service
"The TJX Foundation, Inc.",MA,Adelante Hispanic Achievers,Louisville,KY,2015,10000,Program development;,,Private,Service
"The TJX Foundation, Inc.",MA,Adelante Hispanic Achievers,Louisville,KY,2013,10000,,,Private,Service
"The TJX Foundation, Inc.",MA,Adelante Hispanic Achievers,Louisville,KY,2013,5000,,,Private,Service
"The TJX Foundation, Inc.",MA,Adelante Hispanic Achievers,Louisville,KY,2011,5000,,,Private,Service
"The TJX Foundation, Inc.",MA,Adelante Hispanic Achievers,Louisville,KY,2010,5000,,,Private,Service
The UPS Foundation,GA,Adelante Hispanic Achievers,Louisville,KY,2014,15000,Program development;,,Private,Service
The UPS Foundation,GA,Adelante Hispanic Achievers,Louisville,KY,2013,10000,,,Private,Service
The UPS Foundation,GA,Adelante Hispanic Achievers,Louisville,KY,2011,15000,Continuing support;,,Private,Service
The UPS Foundation,GA,Adelante Hispanic Achievers,Louisville,KY,2010,10000,,,Private,Service
William E. Barth Foundation,KY,Adelante Hispanic Achievers,Louisville,KY,2012,1000,Program development;,,Private,Service
Greater Milwaukee Foundation,WI,Alianza Latina Aplicando Soluciones,Milwaukee,WI,2009,4100,,For program development consultation,Private,Mixed
United States Department of Education,DC,Alianza Latina Aplicando Soluciones,Milwaukee,WI,2016,99999,Program development;,Community parent resource centers,Gov,Mixed
United States Department of Education,DC,Alianza Latina Aplicando Soluciones,Milwaukee,WI,2014,99969,Program development;,Community parent resource centers,Gov,Mixed
Community Foundation of North Texas,TX,"American Latino Center for Research, Education and Justice",Houston,TX,2014,500,,Specifically for team4 kids start up expenses (attn montague spearman),Community,Service
Greater Houston Community Foundation,TX,"American Latino Center for Research, Education and Justice",Houston,TX,2012,1000,Program development;,For the 1st Annual Mamacita's Golf Classic,Community,Service
"Wayne County, Indiana Foundation, Inc.",IN,"AMIGOS, the Richmond Latino Center",Richmond,IN,2015,100,Program development;,For Donor Advised Grant from Doxpop Charitable Giving Fund as employee Match for Ray Ontko,Community,Service
"Wayne County, Indiana Foundation, Inc.",IN,"AMIGOS, the Richmond Latino Center",Richmond,IN,2014,1500,Program development;,"For books written by visiting bilingual children's author, Xavier Garza, in connection with Hispanic Heritage Month",Community,Service
"Wayne County, Indiana Foundation, Inc.",IN,"AMIGOS, the Richmond Latino Center",Richmond,IN,2014,5000,Program development;,For Challenge Match Program,Community,Service
"Wayne County, Indiana Foundation, Inc.",IN,"AMIGOS, the Richmond Latino Center",Richmond,IN,2014,500,Program development;,For Vigran Grant,Community,Service
"Wayne County, Indiana Foundation, Inc.",IN,"AMIGOS, the Richmond Latino Center",Richmond,IN,2014,750,Program development;,For Pass-through gifts from Challenge Match,Community,Service
"Wayne County, Indiana Foundation, Inc.",IN,"AMIGOS, the Richmond Latino Center",Richmond,IN,2013,5365,Program development;,For Challenge Match Program,Community,Service
"Wayne County, Indiana Foundation, Inc.",IN,"AMIGOS, the Richmond Latino Center",Richmond,IN,2013,50,Program development;,For Pass-through gift,Community,Service
"Wayne County, Indiana Foundation, Inc.",IN,"AMIGOS, the Richmond Latino Center",Richmond,IN,2013,1700,Program development;,For program in to celebrate Hispanic arts and culture,Community,Service
"Wayne County, Indiana Foundation, Inc.",IN,"AMIGOS, the Richmond Latino Center",Richmond,IN,2013,500,Program development;,For Vigran Grant,Community,Service
"The Wal-Mart Foundation, Inc.",AR,Apoyo Latino,Rogers,AR,2011,17500,,,Private,Service
"The Wal-Mart Foundation, Inc.",AR,Apoyo Latino,Rogers,AR,2011,3250,,,Private,Service
The Grainger Foundation Inc.,IL,Asociacion Latina De Asistencia Y Prevencion Del Cancer De Mama,Chicago,IL,2015,2500,Program development;,Wigs/Prostheses - Cancer Patients,Private,Service
Gill Foundation,CO,Association of Latino Men for Action,Chicago,IL,2003,10000,Program development;Continuing support;,For program support for expansion targeting gay and bisexual Latino men,Private,Service
Macy's Foundation,OH,Association of Latino Men for Action,Chicago,IL,2008,2000,,For Sponsorship,Private,Service
The Chicago Community Trust,IL,Association of Latino Men for Action,Chicago,IL,2011,75000,Program development;,For the Strength in Unity Coalition,Community,Service
The Chicago Community Trust,IL,Association of Latino Men for Action,Chicago,IL,2009,60000,Program development;,For creation of Strength in Unity Coalition,Community,Service
The Community Foundation - Boulder County,CO,Boulder County Latina Womens League,Boulder,CO,2007,1000,General support;,For general operating support,Community,Service
The Ralph M. Parsons Foundation,CA,Ca Latino Leadership Intitute,Pasadena,CA,2016,10000,General support;,"For general support to develop diverse and entrepreneurial public, corporate and community leaders for California",Private,Service
Annenberg Foundation,CA,California Latino Legislative Caucus Institute for Public Policy,Los Angeles,CA,2006,50000,Fellowships;,For Polanco Fellows Program,Private,Mixed
AT&T Foundation,TX,California Latino Legislative Caucus Institute for Public Policy,Los Angeles,CA,2005,25000,"Policy, advocacy and systems reform;Online media;Information technology;Research;","For technology project to provide training on using Internet for research, public policy training, and research, new website enhancements, such as online registration for organization's events",Private,Mixed
FCA Foundation,MI,California Latino Legislative Caucus Institute for Public Policy,Los Angeles,CA,2012,100000,,,Private,Mixed
FCA Foundation,MI,California Latino Legislative Caucus Institute for Public Policy,Los Angeles,CA,2009,75000,Continuing support;,,Private,Mixed
FCA Foundation,MI,California Latino Legislative Caucus Institute for Public Policy,Los Angeles,CA,2008,100000,,For grant made through Public Policy/Marketplace Issues program,Private,Mixed
FCA Foundation,MI,California Latino Legislative Caucus Institute for Public Policy,Los Angeles,CA,2007,100000,Capacity-building and technical assistance;Program development;Continuing support;,For DaimlerChrysler Elected Officials Training Academy,Private,Mixed
FCA Foundation,MI,California Latino Legislative Caucus Institute for Public Policy,Los Angeles,CA,2006,100000,Continuing support; Capacity-building and technical assistance; Program development;,For DaimlerChrysler/CLCI Elected Officials Training Academy,Private,Mixed
FCA Foundation,MI,California Latino Legislative Caucus Institute for Public Policy,Los Angeles,CA,2005,100000,Convening; Capacity-building and technical assistance;,For DaimlerChrysler/CLLCIPP Elected Officials Training Academy,Private,Mixed
FCA Foundation,MI,California Latino Legislative Caucus Institute for Public Policy,Los Angeles,CA,2004,10000,"Awards, prizes and competitions;",For Third Annual El Angel Awards Gala,Private,Mixed
FCA Foundation,MI,California Latino Legislative Caucus Institute for Public Policy,Los Angeles,CA,2003,110000,General support;,For operating support,Private,Mixed
"The Bank of America Charitable Foundation, Inc.",NC,California Latino Legislative Caucus Institute for Public Policy,Los Angeles,CA,2012,10000,General support; Program development;,For program and operating support,Private,Mixed
"The Bank of America Charitable Foundation, Inc.",NC,California Latino Legislative Caucus Institute for Public Policy,Los Angeles,CA,2010,25000,Continuing support;,,Private,Mixed
"The Bank of America Charitable Foundation, Inc.",NC,California Latino Legislative Caucus Institute for Public Policy,Los Angeles,CA,2009,20000,Continuing support;,,Private,Mixed
"The Bank of America Charitable Foundation, Inc.",NC,California Latino Legislative Caucus Institute for Public Policy,Los Angeles,CA,2008,20000,Continuing support;,,Private,Mixed
"The Bank of America Charitable Foundation, Inc.",NC,California Latino Legislative Caucus Institute for Public Policy,Los Angeles,CA,2007,50000,,,Private,Mixed
"The Bank of America Charitable Foundation, Inc.",NC,California Latino Legislative Caucus Institute for Public Policy,Los Angeles,CA,2006,40000,"Policy, advocacy and systems reform;Fellowships;",For Housing Polanco Fellow,Private,Mixed
"The Bank of America Charitable Foundation, Inc.",NC,California Latino Legislative Caucus Institute for Public Policy,Los Angeles,CA,2005,30000,Continuing support; General support;,For general support,Private,Mixed
"The Bank of America Charitable Foundation, Inc.",NC,California Latino Legislative Caucus Institute for Public Policy,Los Angeles,CA,2004,15000,General support;,For general support,Private,Mixed
Verizon Foundation,NJ,California Latino Legislative Caucus Institute for Public Policy,Los Angeles,CA,2005,10000,,,Private,Mixed
Verizon Foundation,NJ,California Latino Legislative Caucus Institute for Public Policy,Los Angeles,CA,2004,10000,General support;,For unrestricted support,Private,Mixed
Community Foundation for Greater Atlanta,GA,Caminar Latino,Atlanta,GA,2014,1000,,,Community,Service
Bill & Melinda Gates Foundation,WA,Casa Latina,Seattle,WA,2017,5000,General support;,To provide for general operating support,Private,Service
Bill & Melinda Gates Foundation,WA,Casa Latina,Seattle,WA,2016,5000,General support;,To provide for general operating support,Private,Service
Bill & Melinda Gates Foundation,WA,Casa Latina,Seattle,WA,2015,5000,Sponsorships;General support;,To provide general operating support in the form of table sponsorship,Private,Service
Bill & Melinda Gates Foundation,WA,Casa Latina,Seattle,WA,2014,5000,General support;,For general operating support,Private,Service
Bill & Melinda Gates Foundation,WA,Casa Latina,Seattle,WA,2013,1500,General support;Financial sustainability;,For general operating support,Private,Service
Bill & Melinda Gates Foundation,WA,Casa Latina,Seattle,WA,2007,400000,Capital campaigns;,For capital campaign,Private,Service
Catherine Holmes Wilkens Charitable Foundation,WA,Casa Latina,Seattle,WA,2003,7500,Program development;,For program support,Private,Service
Dorothy F. Thorne Foundation,TX,Casa Latina,Seattle,WA,2011,50000,Capital and infrastructure;,For capital improvements,Private,Service
Dorothy F. Thorne Foundation,TX,Casa Latina,Seattle,WA,2010,1500,General support;,For general operating support,Private,Service
Dorothy F. Thorne Foundation,TX,Casa Latina,Seattle,WA,2009,60000,,,Private,Service
Dorothy F. Thorne Foundation,TX,Casa Latina,Seattle,WA,2008,26000,,,Private,Service
Dorothy F. Thorne Foundation,TX,Casa Latina,Seattle,WA,2007,15000,,,Private,Service
Ford Foundation,NY,Casa Latina,Seattle,WA,2014,250000,General support;,For general support to empower Latino immigrants through educational and economic opportunities,Private,Service
Ford Foundation,NY,Casa Latina,Seattle,WA,2012,235000,Program development;,To develop and implement basic skills job and language training programs aimed at increasing the earnings potential of immigrant day laborers and domestic workers,Private,Service
Ford Foundation,NY,Casa Latina,Seattle,WA,2010,145000,Research;Program development;,To support models that increase collaborations between worker centers and organized labor and to increase access to training opportunities and connections to career ladders for low-wage workers,Private,Service
Frank B. and Virginia V. Fehsenfeld Charitable Foundation,WA,Casa Latina,Seattle,WA,2012,2000,General support; Continuing support;,Annual support,Private,Service
George & Patricia Ann Fisher Foundation,NJ,Casa Latina,Seattle,WA,2014,2500,General support;,General operating,Private,Service
"Glaser Foundation, Inc.",WA,Casa Latina,Seattle,WA,2013,5000,General support;,Operating support,Private,Service
Hispanics in Philanthropy,CA,Casa Latina,Florence,MA,2005,20000,,,Private,Service
KeyBank Foundation,OH,Casa Latina,Seattle,WA,2013,2500,Program development;,For Program Support,Private,Service
KeyBank Foundation,OH,Casa Latina,Seattle,WA,2011,3000,Program development;,For program support,Private,Service
KeyBank Foundation,OH,Casa Latina,Seattle,WA,2010,3000,Program development;,For program support,Private,Service
Marguerite Casey Foundation,WA,Casa Latina,Seattle,WA,2010,150000,Program development;,"To help increase the economic well-being of low-wage immigrant workers and their families, strengthen constituent leadership, and promote policies that protect the civil and human rights of immigrants",Private,Service
Marguerite Casey Foundation,WA,Casa Latina,Seattle,WA,2008,50000,Program development;,"To increase economic stability of Latino low-wage immigrant workers and families, assist them to become leaders and advocates and promote policies that protect civil and human rights of immigrants",Private,Service
Marguerite Casey Foundation,WA,Casa Latina,Seattle,WA,2007,50000,Program development;,To develop Latino low-income immigrant parents as leaders and advocates,Private,Service
Marguerite Casey Foundation,WA,Casa Latina,Seattle,WA,2004,50000,Program development;,To develop Latino low-income immigrant parents as leaders and advocates in their communities,Private,Service
Marguerite Casey Foundation,WA,Casa Latina,Seattle,WA,2003,25000,Program development;,"For Women's Leadership Program, providing Latinas resources to be capable employed parents, improve health care for their families and fortify family structures",Private,Service
Medina Foundation,WA,Casa Latina,Seattle,WA,2015,25000,General support;,,Private,Service
Medina Foundation,WA,Casa Latina,Seattle,WA,2013,25000,General support;,For general operating,Private,Service
Medina Foundation,WA,Casa Latina,Seattle,WA,2011,25000,Continuing support; General support;,For general operating support,Private,Service
Medina Foundation,WA,Casa Latina,Seattle,WA,2010,25000,General support;,For General Operating Grant,Private,Service
Medtronic Communities Foundation,MN,Casa Latina,Seattle,WA,2006,7000,,,Private,Service
"Public Welfare Foundation, Inc.",DC,Casa Latina,Seattle,WA,2008,50000,Continuing support;General support;,For general support,Private,Service
"Public Welfare Foundation, Inc.",DC,Casa Latina,Seattle,WA,2007,25000,General support; Continuing support;,For general support,Private,Service
"Public Welfare Foundation, Inc.",DC,Casa Latina,Seattle,WA,2006,25000,Continuing support;General support;,For general support,Private,Service
"Public Welfare Foundation, Inc.",DC,Casa Latina,Seattle,WA,2005,25000,Continuing support; General support;,For general support,Private,Service
"Public Welfare Foundation, Inc.",DC,Casa Latina,Seattle,WA,2003,50000,Continuing support;General support;,For general support,Private,Service
S. B. Schaar & P. K. Whelpton Foundation,WA,Casa Latina,Seattle,WA,2015,500,,Contribution to be used for charitable purposes,Private,Service
S. B. Schaar & P. K. Whelpton Foundation,WA,Casa Latina,Seattle,WA,2012,1000,,Contribution to be used for charitable purposes,Private,Service
S. B. Schaar & P. K. Whelpton Foundation,WA,Casa Latina,Seattle,WA,2010,2000,,,Private,Service
S. B. Schaar & P. K. Whelpton Foundation,WA,Casa Latina,Seattle,WA,2008,10000,,,Private,Service
Silicon Valley Community Foundation,CA,Casa Latina,Seattle,WA,2016,500,,,Community,Service
The Berwick Degel Family Foundation,WA,Casa Latina,Seattle,WA,2015,50000,General support;,General operating budget,Private,Service
The Berwick Degel Family Foundation,WA,Casa Latina,Seattle,WA,2014,20000,General support;,General operating budget,Private,Service
The Berwick Degel Family Foundation,WA,Casa Latina,Seattle,WA,2012,5000,General support;,General operating budget,Private,Service
The Berwick Degel Family Foundation,WA,Casa Latina,Seattle,WA,2010,5000,General support;,For general operating budget,Private,Service
The Foster Foundation,WA,Casa Latina,Seattle,WA,2007,30000,,,Private,Service
The Foster Foundation,WA,Casa Latina,Seattle,WA,2005,5000,,,Private,Service
The Grainger Foundation Inc.,IL,Casa Latina,Seattle,WA,2016,3000,,Program Workbooks,Private,Service
The Greater Tacoma Community Foundation,WA,Casa Latina,Seattle,WA,2007,25000,,,Community,Service
The Henry M. Jackson Foundation,WA,Casa Latina,Seattle,WA,2016,300,Capacity-building and technical assistance;,"In honor of departing ED and Founder of Casa Latina, Hilary Stern",Private,Service
The J.E. Fehsenfeld Family Foundation Inc.,IN,Casa Latina,Seattle,WA,2011,5000,,,Private,Service
The Kresge Foundation,MI,Casa Latina,Seattle,WA,2009,300000,Capital and infrastructure;,For facilities capital support awarded as challenge grant for Program/Administrative Facility,Private,Service
"The Liberty Mutual Foundation, Inc.",MA,Casa Latina,Seattle,WA,2014,88,,Matching contribution,Private,Service
The Norcliffe Foundation,WA,Casa Latina,Seattle,WA,2012,250000,Building and renovations;Capital campaigns;Rent;,"For $4M capital campaign: Phase I, renovate building at 17th and Jackson and construct 1000 square feet for day workers center and ESL Program; Phase II, construct new building and rent out existing one",Private,Service
The Oregon Community Foundation,OR,Casa Latina,Seattle,WA,2005,2000,,,Community,Service
The Paul G. Allen Family Foundation,WA,Casa Latina,Seattle,WA,2009,200000,Capital and infrastructure;,For Capital Campaign for Training Facility,Private,Service
The Paul G. Allen Family Foundation,WA,Casa Latina,Seattle,WA,2007,150000,Fundraising; Capacity-building and technical assistance; Continuing support;,For capacity building capacity to raise funds from private sources,Private,Service
The Picsha Foundation,WA,Casa Latina,Seattle,WA,2014,15000,,Contribution for charitable purposes.,Private,Service
The Pride Foundation,WA,Casa Latina,Seattle,WA,2010,1450,Capacity-building and technical assistance;Program development;,"For training to engage staff, volunteers and participants in meaningful discussions about LGBTQ issues, to recognize and learn from the commonalities in both the immigrant and LGBTQ struggles, and to help make Casa Latina a safe zone for the LGBTQ community",Private,Service
The Russell Family Foundation,WA,Casa Latina,Seattle,WA,2016,2000,General support;,General Operating Support,Private,Service
The Russell Family Foundation,WA,Casa Latina,Seattle,WA,2015,4000,General support;,General Operating Support,Private,Service
The Russell Family Foundation,WA,Casa Latina,Seattle,WA,2014,5000,General support;,General Operating,Private,Service
The Russell Family Foundation,WA,Casa Latina,Seattle,WA,2012,5000,Program development;,For Leadership Skills through ESL (English as a Second Language),Private,Service
The Russell Family Foundation,WA,Casa Latina,Seattle,WA,2012,5000,Program development;,For Leadership Through ESL (English as a Second Language),Private,Service
The Seattle Foundation,WA,Casa Latina,Seattle,WA,2016,1000,General support;,To provide general support.,Community,Service
The Seattle Foundation,WA,Casa Latina,Seattle,WA,2016,1000,General support;,To provide general support.,Community,Service
The Seattle Foundation,WA,Casa Latina,Seattle,WA,2016,10000,General support;,To provide general support.,Community,Service
The Seattle Foundation,WA,Casa Latina,Seattle,WA,2015,10000,General support;,For general support,Community,Service
The Seattle Foundation,WA,Casa Latina,Seattle,WA,2015,500,General support;,For general support,Community,Service
The Seattle Foundation,WA,Casa Latina,Seattle,WA,2015,5000,General support;,For general support,Community,Service
The Seattle Foundation,WA,Casa Latina,Seattle,WA,2015,1000,General support;,For general support,Community,Service
The Seattle Foundation,WA,Casa Latina,Seattle,WA,2015,5000,General support;,For general support as a GiveBIG 2015 Challenge Grant,Community,Service
The Seattle Foundation,WA,Casa Latina,Seattle,WA,2015,2005,Program development;,"For Stretc: $2,005.17",Community,Service
The Seattle Foundation,WA,Casa Latina,Seattle,WA,2015,500,General support;,To provide general support.,Community,Service
The Seattle Foundation,WA,Casa Latina,Seattle,WA,2015,1000,General support;,To provide general support.,Community,Service
The Seattle Foundation,WA,Casa Latina,Seattle,WA,2015,500,General support;,To provide general support.,Community,Service
The Seattle Foundation,WA,Casa Latina,Seattle,WA,2015,15000,General support;,To provide general support.,Community,Service
The Seattle Foundation,WA,Casa Latina,Seattle,WA,2015,20000,Building and renovations;,To provide support for the installation of an elevator.,Community,Service
The Seattle Foundation,WA,Casa Latina,Seattle,WA,2015,1500,,"To provide general support, as prompted by this year's Gala.",Community,Service
The Seattle Foundation,WA,Casa Latina,Seattle,WA,2014,3000,General support;,For general support,Community,Service
The Seattle Foundation,WA,Casa Latina,Seattle,WA,2014,984,Program development;,For Stretch: $ 984.31,Community,Service
The Seattle Foundation,WA,Casa Latina,Seattle,WA,2014,10000,General support;,For general support,Community,Service
The Seattle Foundation,WA,Casa Latina,Seattle,WA,2014,1000,General support;,For general support,Community,Service
The Seattle Foundation,WA,Casa Latina,Seattle,WA,2014,500,General support;,For general support,Community,Service
The Seattle Foundation,WA,Casa Latina,Seattle,WA,2014,2500,General support;,For general support,Community,Service
The Seattle Foundation,WA,Casa Latina,Seattle,WA,2013,1128,Program development;,"For stretch: $1,127.85",Community,Service
The Seattle Foundation,WA,Casa Latina,Seattle,WA,2013,4000,General support;,For general support,Community,Service
The Seattle Foundation,WA,Casa Latina,Seattle,WA,2013,1500,General support;,For general support,Community,Service
The Seattle Foundation,WA,Casa Latina,Seattle,WA,2012,1056,Program development;,"For Stretch: $1036.53, Reimbursement: $19.00",Community,Service
The Seattle Foundation,WA,Casa Latina,Seattle,WA,2012,5000,General support;,For general support,Community,Service
The Seattle Foundation,WA,Casa Latina,Seattle,WA,2012,1100,General support;,For general support,Community,Service
The Seattle Foundation,WA,Casa Latina,Seattle,WA,2012,500,General support;,For general support,Community,Service
The Seattle Foundation,WA,Casa Latina,Seattle,WA,2011,500,,For memorial gift of brick imprint,Community,Service
The Seattle Foundation,WA,Casa Latina,Seattle,WA,2011,42856,Continuing support;Program development;,For Phase II Building Resilience Through Infrastructure,Community,Service
The Seattle Foundation,WA,Casa Latina,Seattle,WA,2011,30000,Continuing support; General support;,For general operating support,Community,Service
